row,candidate,stateDist,avgIdeal,idealTwitter,idealWeb,twWeight,candStem,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,party,partyLeader,incumbent,primaryPct,screenName,officialScreenName,followersCampaign,followersOfficial,house,rep,generalElec,generalElecJungle,district
1,Alyse Galvin,AK-00,-0.61,-0.61,-0.61,0.18,AK-00-galvin_alyse-,0,0,0,NA,-0.870059059,0.5,-0.61,0.0319,3052,-0.61,0.0191,8121,D,0,0,85.83493158,@AlyseGalvin,NA,5365,NA,1,0,1,0,AK-00
2,Don Young,AK-00,0.83,0.62,0.92,0.31,AK-00-young_don-,0,0,0,0.807376188,0.807376188,0.5,0.92,0.0353,1564,0.62,0.0174,8322,R,0,1,77.2,@DonYoungAK,@repdonyoung,NA,22896,1,1,1,0,AK-00
3,Gerald Heikes,AK-00,NA,NA,NA,NA,AK-00-heikes_gerald-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,NA,NA,NA,R,0,0,5.8,NA,NA,NA,NA,1,1,0,0,AK-00
4,John Nelson,AK-00,1.72,1.72,NA,1,AK-00-nelson_john-,0,0,0,NA,1.034735001,0.5,NA,NA,NA,1.72,0.0393,924,R,0,0,17,@Nelson4Alaskans,NA,36,NA,1,1,0,0,AK-00
5,Ray Sean Tugatuk,AK-00,NA,NA,NA,NA,AK-00-tugatuk_raysean-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,7.8,NA,NA,NA,NA,1,0,0,0,AK-00
6,Thomas Lamb,AK-00,NA,NA,NA,NA,AK-00-lamb_thomas-,0,0,0,NA,0,0.5,NA,NA,NA,NA,NA,NA,I,0,0,0,NA,NA,NA,NA,1,0,0,0,AK-00
7,William Hibler,AK-00,-0.81,NA,-0.81,0,AK-00-hibler_william-,0,0,0,NA,-0.870059059,0.5,-0.81,0.0643,967,NA,NA,NA,D,0,0,6.3,NA,NA,NA,NA,1,0,0,0,AK-00
8,Al Gross,AK-Sen02,-0.82,-1.15,-0.71,0.25,AK-Sen02-gross_al-,0,0,0,NA,-0.870059059,0.5,-0.71,0.0368,2323,-1.15,0.017,9081,D,0,0,79.9,@DrAlGrossAK,NA,NA,NA,0,0,1,0,AK-Se
9,Chris Cumings,AK-Sen02,-0.9,NA,-0.9,0,AK-Sen02-cummings_chris-,0,0,0,NA,-0.870059059,0.5,-0.9,0.0646,818,NA,NA,NA,D,0,0,4.8,NA,NA,NA,NA,0,0,0,0,AK-Se
10,Dan Sullivan,AK-Sen02,0.66,0.66,0.66,0.41,AK-Sen02-sullivan_dan-,0,0,0,0.829188857,0.829188857,0.5,0.66,0.0275,2187,0.66,0.0123,17533,R,0,1,100,@DanSullivan_AK,@SenDanSullivan,4978,NA,0,1,1,0,AK-Se
11,Edgar Blatchford,AK-Sen02,NA,NA,NA,NA,AK-Sen02-blatchford_edgar-,0,0,0,NA,-0.870059059,0.5,NA,NA,NA,NA,NA,NA,D,0,0,8.7,NA,NA,NA,NA,0,0,0,0,AK-Se
12,John Howe,AK-Sen02,-0.94,NA,-0.94,0,AK-Sen02-howe_john-,0,0,0,NA,-0.870059059,0.5,-0.94,0.1132,263,NA,NA,NA,D,0,0,6.6,NA,NA,NA,NA,0,0,0,0,AK-Se
13,Lisa Murkowski,AK-Sen03,0.2,0.2,NA,1,AK-Sen03-murkowski_lisa-,0,0,1,0.24082822,0.24082822,0.5,NA,NA,NA,0.2,0.0071,43670,R,0,1,NA,@LisaForSenate,@lisamurkowski,NA,NA,0,1,0,0,AK-Se
14,Bill Hightower,AL-01,1.32,1.4,1.27,0.37,AL-01-hightower_bill-,0,0,0,NA,1.034735001,0.5,1.27,0.0459,720,1.4,0.0182,5066,R,0,0,37.5,@BillHightowerAL,NA,NA,NA,1,1,0,0,AL-01
