stateDist,state,senate,district,competitiveness,partisanshipCong2020,notes2020,demPct,demPct2Party,demPct2ndDem,repPct_incomplete,repPct2ndRep,thirdPct,demCong2020_count,dem2Cong2020_count,repCong2020_count,rep2Cong2020_count,otherCong2020_count,incumbentParty,incumbentMember,district_jungleElec,samePartyGen2020,demCand,demCand2,repCand,repCand2,thirdCand,thirdParty,winner2020,freshman117th,party_change,trump2020Pct,biden2020Pct,trump2016Pct,clinton2016Pct,biden2020_count,trump2020_count,other2020_count,clinton2016_count,trump2016_count,total2016_count,obama2012pct,romney2012pct,total2012_count,obama2012_count,romney2012_count,whitePct,blackPct,hispPct,asianPacificPct,nativePct,otherPct,hsCompletedPct,hsRank,baPct,ba_Rank,white_BAPct,white_BA_Rank,medianIncome,incomeRank,whiteIncome,whiteRank,nonCollWhitePct,districtType,veryLowDensityPct,lowDensityPct,mediumDensityPct,highDensityPct,primaryDate,demRunoff,repRunoff,dem_candStem,dem_partyLeader,dem_candidate,dem_inc,dem_thetaStart,dem_primaryPct,dem_webIdeal,dem_twIdeal,dem_avgIdeal,dem_receipt,dem_itemized,dem_Individual_Unitemized_Contribution,dem_Individual_Contribution,dem_followersCampaign,dem_followersOfficial,dem_screenName,dem_officialScreenName,rep_candStem,rep_candidate,rep_partyLeader,rep_inc,rep_thetaStart,rep_primaryPct,rep_webIdeal,rep_twIdeal,rep_avgIdeal,rep_receipt,rep_Itemized,rep_Individual_Unitemized_Contribution,rep_Individual_Contribution,rep_followersCampaign,rep_followersOfficial,rep_screenName,rep_officialScreenName,onePartyGeneral,house_cand_dem_gender,house_cand_rep_gender,rep_man_vs_dem_woman,dem_man_vs_rep_woman,probCon_dem,probCon_rep,UtahDum,trump2016Pct2Party,trump2020Pct2Party,dem_followers,rep_followers,moneyOutlier,Sen_Total_Receipt_Republican,Sen_Total_Receipt_Democrat,Sen_Total_Disbursement_Republican,Sen_Total_Disbursement_Democrat,Sen_Coverage_Start_Date_Republican,Sen_Coverage_Start_Date_Democrat,Sen_Coverage_End_Date_Republican,Sen_Coverage_End_Date_Democrat,Sen_Individual_Itemized_Contribution_Republican,Sen_Individual_Itemized_Contribution_Democrat,Sen_Individual_Unitemized_Contribution_Republican,Sen_Individual_Unitemized_Contribution_Democrat,Sen_Individual_Contribution_Republican,Sen_Individual_Contribution_Democrat,Sen_Total_Contribution_Republican,Sen_Total_Contribution_Democrat,Sen_Other_Receipts_Republican,Sen_Other_Receipts_Democrat,senState
AK-00,Alaska,FALSE,0,6,R+9,NA,45.3,45.4,NA,NA,NA,NA,159856,NA,192126,NA,1183,Republican,Don Young,0,0,NA,NA,Don Young,NA,NA,NA,Don Young,NA,NA,53.12,43.01,52.80649759,37.63780393,NA,NA,NA,116454,163387,309407,41.20621588,55.3300294,297625,122640,164676,66.95419365,3.097749748,5.640242465,5.415877146,13.34502296,5.547856746,92.72387786,53,29.23112991,220,35.58153346,192,7.6715,74,85448,81,43.13086483,Pure rural,0.482992665,0.198331097,0.229245042,0.089431195,2021-08-18T00:00:00Z,NA,NA,AK-00-galvin_alyse-,0,Alyse Galvin,0,-0.870059059,85.83493158,-0.61,-0.61,-0.61,5.25171778,3.98251507,1.26920271,4.79613747,5365,0,@AlyseGalvin,NA,AK-00-young_don-,Don Young,0,1,0.807376188,77.2,0.92,0.62,0.83,1.94441046,1.77619619,0.16821427,0.96153707,0,22896,@DonYoungAK,@repdonyoung,0,F,M,1,0,0.2709309037830057,0.7967306081719316,FALSE,0.5838565471106806,0.5525850410901904,5365,22896,FALSE,8978098.94,19572461.76,9372898.58,19545630.9,1/1/2019,2/13/2019,12/31/2020,12/31/2020,5381235.88,11360792.16,867949.74,6771953.63,6249185.62,18132745.79,8198652.59,19224278.92,16865.95,95160.97,AK-Sen02
AL-01,Alabama,FALSE,1,6,R+15,NA,35.5,35.6,NA,NA,NA,NA,116949,NA,211825,NA,301,Republican,Bradley Byrne,0,0,NA,NA,Jerry Carl,NA,NA,NA,Jerry Carl,Yes,NA,63.69,35.29,63.47544138,34.05980005,NA,NA,NA,103364,192634,303478,37.38994837,61.8350472,298837,111735,184786,68.31974998,26.35233132,2.063235115,1.068578005,1.092906401,1.103199184,86.97175289,290,24.29931533,311,27.68351529,305,4.7951999999999995,365,57003,320,49.40644155,Rural-suburban mix,0.365358974,0.428877657,0.197413357,0.008350013,2021-05-20T00:00:00Z,44391,2021-07-14T00:00:00Z,AL-01-averhart_james-,0,James Averhart,0,-0.870059059,40.34700497,-0.72,-0.63,-0.71,0.07908918,0.06751211,0.01157707,0.04984418,376,0,@JAverhart2020,NA,AL-01-carl_jerry-,Jerry Carl,0,0,1.034735001,38.7,1.1,1.2,1.13,2.31182722,2.26754381,0.04428341,1.03956641,2250,0,@CarlForAlabama,@RepJerryCarl,0,M,M,0,0,0.23885206808998666,0.8707618877599821,FALSE,0.6507949378036335,0.6434633259244292,376,2250,FALSE,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,AL-Sen02
AL-02,Alabama,FALSE,2,6,R+16,NA,34.7,34.7,NA,NA,NA,NA,105286,NA,197996,NA,287,Republican,Martha Roby,0,0,NA,NA,Barry Moore,NA,NA,NA,Barry Moore,Yes,NA,63.89,35.14,64.93817912,33.01045984,NA,NA,NA,94299,185505,285664,36.42121823,62.88707808,289864,105572,182287,65.27110302,30.51023176,1.933958608,0.62979614,0.39628711,1.258623363,84.46113821,346,22.47414634,344,25.22766453,352,4.6817,373,54917,351,48.80472811,Pure rural,0.535486669,0.31614772,0.148365611,0,2021-05-20T00:00:00Z,NA,2021-07-14T00:00:00Z,AL-02-harvey-hall_phyllis-,0,Phyllis Harvey-Hall,0,-0.870059059,59.2,-0.6,-0.95,-0.68,0.05765677,0.04236597,0.0152908,0.04234595,2073,0,@PhyllisDHHall,NA,AL-02-moore_barry-,Barry Moore,0,0,1.71459427,20.5,1.48,NA,1.48,0.79919085,0.7370083,0.06218255,0.4085112,0,6097,NA,@RepBarryMoore,0,F,M,1,0,0.24825223045357053,0.9305633766666682,FALSE,0.6629819445040098,0.6451580329193174,2073,6097,FALSE,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,AL-Sen02
AL-03,Alabama,FALSE,3,6,R+16,NA,32.5,32.5,NA,NA,NA,NA,104595,NA,217384,NA,255,Republican,Mike Rogers,0,0,NA,NA,Mike Rogers,NA,NA,NA,Mike Rogers,NA,NA,65.29,33.72,65.26754301,32.30877912,NA,NA,NA,93300,188477,288776,36.800676833447604,62.28045751,280128,103089,174465,70.74936121,25.26457607,1.803484321,0.83437863,0.299186992,1.048083624,84.61457106,345,21.68187174,354,23.19306618,387,4.6575999999999995,377,52592,383,54.34041504,Pure rural,0.540407296,0.389347676,0.065552228,0.0046928,2021-05-20T00:00:00Z,NA,NA,AL-03-winfrey_adia-,0,Adia Winfrey,0,-0.870059059,100,-1.26,-1.23,-1.24,0.0504882,0.01404031,0.03644789,0.04687789,4596,0,@drdia,NA,AL-03-rogers_mike-,Mike Rogers,0,1,1.120489218,100,NA,1.24,1.24,1.20143984,1.19622484,0.005215,0.442269,613,0,@MikeRogersCamp,@RepMikeRogersAL,0,F,M,1,0,0.10748769707458689,0.8925123029254132,FALSE,0.6688870986631271,0.6594283405716594,4596,613,FALSE,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,AL-Sen02
AL-04,Alabama,FALSE,4,6,R+30,NA,17.7,17.7,NA,NA,NA,NA,56237,NA,261553,NA,239,Republican,Robert Aderholt,0,0,NA,NA,Robert Aderholt,NA,NA,NA,Robert Aderholt,NA,NA,81.23,17.81,80.3715526,17.446668,NA,NA,NA,50722,233661,290726,23.97697674,74.83397388,274505,65818,205423,88.47309051,6.962910784,2.172913426,0.41775508,0.746480389,1.224893115,81.53569861,383,17.19126686,412,17.86809722,428,4.3458,401,45625,424,72.66463268,Pure rural,0.69533214,0.288941508,0.015726352,0,2021-05-20T00:00:00Z,NA,NA,AL-04-neighbors_rick-,0,Rick Neighbors,0,-0.870059059,100,-0.51,-0.89,-0.61,0.04789667,0.04006511,0.00783156,0.03292197,557,0,@VoteNeighbors,NA,AL-04-aderholt_robert-,Robert Aderholt,0,1,1.026402025,100,1.03,1.08,1.05,1.28096507,1.22033129,0.06063378,0.53979678,0,30226,NA,@Robert_Aderholt,0,M,M,0,0,0.2709309037830057,0.8531409436241041,FALSE,0.8216419406223299,0.8201736672051696,557,30226,FALSE,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,AL-Sen02
AL-05,Alabama,FALSE,5,6,R+18,NA,NA,NA,NA,NA,NA,NA,0,NA,253094,NA,11066,Republican,Mo Brooks,0,0,None,NA,Mo Brooks,NA,NA,NA,Mo Brooks,NA,NA,62.73,35.65,64.71347403,31.34798362,NA,NA,NA,97159,200571,309937,34.85062049,63.8693682,297263,103598,189860,76.63040462,17.29015189,2.39681042,1.223844147,0.651236795,1.807552127,87.78504482,268,31.84250204,171,32.98709222,226,5.5043,256,59834,281,51.35226238,Rural-suburban mix,0.398973049,0.432821297,0.168205655,0,2021-05-20T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,AL-05-brooks_mo-,Mo Brooks,0,1,1.522324153,74.9,1.61,1.75,1.7,0.63445011,0.62128457,0.01316554,0.38281654,0,44045,NA,@RepMoBrooks,0,NA,M,NA,0,NA,0.955434537,FALSE,0.6736674167870219,0.6376296,0,44045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-06,Alabama,FALSE,6,6,R+26,NA,NA,NA,NA,NA,NA,NA,0,NA,274160,NA,8101,Republican,Gary Palmer,0,0,None,NA,Gary Palmer,NA,NA,NA,Gary Palmer,NA,NA,67.03,31.76,70.78784535,26.10770383,NA,NA,NA,86116,233493,329849,24.66000515,74.30291115,314343,77517,233566,80.7132278,15.14358807,1.830194849,1.044451711,0.226009348,1.042528227,90.35553205,154,36.09733843,120,38.0303066,163,6.5464,152,69555,185,50.0177398,Rural-suburban mix,0.346319911,0.49027171,0.151928697,0.011479682,2021-05-20T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,AL-06-palmer_gary-,Gary Palmer,0,1,1.297132292,100,1.5,1.17,1.38,0.91963833,0.91854333,0.001095,0.46913,2736,0,@Palmer4Alabama,@USRepGaryPalmer,0,NA,M,NA,0,NA,0.9162066775849858,FALSE,0.7305582758933572,0.6785099706448021,0,2736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AL-07,Alabama,FALSE,7,0,D+20,NA,NA,NA,NA,NA,NA,NA,225742,NA,0,NA,6589,Democratic,Terri Sewell,0,0,Terri Sewell,NA,None,NA,NA,NA,Terri Sewell,NA,NA,28.48,70.79,28.61736992,69.76956734,NA,NA,NA,204586,83915,293231,72.41248049,27.1180419,315244,228276,85488,35.26764752,62.23293943,1.165088433,0.437275004,0.148693066,0.74835655,84.22290277,352,19.99913413,389,29.1298058,287,3.6447000000000003,431,53385,371,24.99425029,Rural-suburban mix,0.303055809,0.330021701,0.339117516,0.027804974,2021-05-20T00:00:00Z,NA,NA,AL-07-sewell_terri-,0,Terri Sewell,1,-0.70617425,100,-0.66,-0.71,-0.69,2.16514998,2.14037371,0.02477627,0.40417527,3098,0,@Sewell4Congress,@RepTerriSewell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,F,NA,NA,0,0.24509709367430943,NA,FALSE,0.290865543,0.286894329,3098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR-01,Arkansas,FALSE,1,6,R+17,NA,NA,NA,NA,NA,NA,NA,0,NA,237596,NA,0,Republican,Rick Crawford,0,0,None,NA,Rick Crawford,NA,NA,NA,Rick Crawford,NA,NA,69.1,27.9,64.98924121,30.18138441,NA,NA,NA,78688,169438,260717,36.33157106,60.97569636,253460,92086,154549,79.27636094,16.53535381,1.805437359,0.330341047,0.353217851,1.700204061,84.27472744,351,16.4187215,417,17.89376248,427,4.098,419,44982,426,65.09083721,Pure rural,0.650547977,0.264875258,0.084576765,0,2021-03-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,AR-01-crawford_rick-,Rick Crawford,0,1,1.096755235,100,1.12,1.38,1.35,0.96438602,0.92709262,0.0372934,0.4047834,4595,0,@Crawford4Cong,@RepRickCrawford,0,NA,M,NA,0,NA,0.9114920085625979,FALSE,0.6828707995131507,0.7123711340206185,0,4595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR-02,Arkansas,FALSE,2,5,R+7,NA,44.6,44.6,NA,NA,NA,NA,148410,NA,184093,NA,0,Republican,French Hill,0,0,NA,NA,French Hill,NA,NA,NA,French Hill,NA,NA,53.1,44.3,52.37642276,41.65922847,NA,NA,NA,127883,160782,306974,42.91301301,54.74591047,292515,125527,160140,73.05533138,21.70685634,2.410493362,1.019892335,0.298872797,1.508553793,89.71725912,189,29.60983926,214,32.33175399,237,5.0929,329,57617,311,49.43526136,Rural-suburban mix,0.305145193,0.39532154,0.294859311,0.004673956,2021-03-03T00:00:00Z,NA,NA,AR-02-elliott_joyce-,0,Joyce Elliott,0,-0.870059059,100,-0.59,-1.12,-0.81,3.54374756,2.16685972,1.37688784,3.14645755,16572,0,@xjelliott,NA,AR-02-hill_french-,French Hill,0,1,0.9691415,100,0.97,0.74,0.87,3.42135937,3.31961659,0.10174278,1.69883098,2925,20634,@ElectFrench,@RepFrenchHill,0,F,M,1,0,0.2089700878716016,0.8078497978963037,FALSE,0.5569847400966514,0.5451745379876797,16572,23559,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR-03,Arkansas,FALSE,3,6,R+19,NA,31.8,33.1,NA,NA,NA,NA,106325,NA,214960,NA,12977,Republican,Steve Womack,0,0,NA,NA,Steve Womack,NA,NA,NA,Steve Womack,NA,NA,61.9,35.2,61.92467903,30.49017158,NA,NA,NA,89081,180921,292163,31.59608488,65.47301178,257668,81413,168703,85.01858364,2.964295775,6.76735458,2.04919895,1.136828331,2.064647456,85.92513377,320,27.25466477,255,29.1427404,286,5.055400000000001,332,52593,381,60.24183852,Rural-suburban mix,0.361864208,0.433573111,0.204562682,0,2021-03-03T00:00:00Z,NA,NA,AR-03-williams_celeste-,0,Celeste Williams,0,-0.870059059,100,-0.96,-0.99,-0.97,0.35605969,0.20117556,0.15488413,0.33961109,0,0,@CelesteforAR,NA,AR-03-womack_steve-,Steve Womack,0,1,0.949987192,100,1.07,0.76,0.84,1.1255836,1.0616536,0.06393,0.54792,2065,0,@womack4congress,@rep_stevewomack,0,F,M,1,0,0.16602324606352964,0.7995458067395503,FALSE,0.6700728142754496,0.6374871266735325,0,2065,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR-04,Arkansas,FALSE,4,6,R+17,NA,27.5,28.3,NA,NA,NA,NA,75750,NA,191617,NA,7668,Republican,Bruce Westerman,0,0,NA,NA,Bruce Westerman,NA,NA,NA,Bruce Westerman,NA,NA,67.7,29.6,64.15922831,31.33233129,NA,NA,NA,84842,173731,270781,35.88187717,61.82714192,265825,95383,164352,76.10185635,19.0546446,2.485713219,0.481828708,0.667650245,1.208306876,84.7448269,344,16.5848091,416,18.03459338,425,4.0937,420,45565,425,62.377196,Pure rural,0.690657483,0.262483008,0.046859509,0,2021-03-03T00:00:00Z,NA,NA,AR-04-hanson_william-,0,William Hanson,0,-0.870059059,100,-0.93,-0.99,-0.93,0.10976715,0.10183333,0.00793382,0.03966715,711,0,@WilliamHansonAR,NA,AR-04-westerman_bruce-,Bruce Westerman,0,1,1.14738806,100,1.2,0.9,1.02,1.40193256,1.34449652,0.05743604,0.65399854,2412,0,@WestermanAR,@RepWesterman,0,M,M,0,0,0.1761855422452579,0.8461357696272651,FALSE,0.6718837620323854,0.6957862281603289,711,2412,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ-01,Arizona,FALSE,1,2,R+2,NA,51.6,51.6,NA,NA,NA,NA,188469,NA,176709,NA,0,Democratic,Tom O'Halleran,0,0,Tom O'Halleran,NA,NA,NA,NA,NA,Tom O'Halleran,NA,NA,48.4,50.1,47.6985539,46.62687342,NA,NA,NA,132874,135928,284973,47.89353062,50.4179869,260056,124550,131115,55.05547415,2.24445031,18.29236104,1.39436248,21.33046937,1.681972495,86.16013338,308,24.57384515,303,34.185208,207,5.270499999999999,299,61166,264,36.23464579,Pure rural,0.552900431,0.316821046,0.130278523,0,2021-08-04T00:00:00Z,NA,NA,AZ-01-ohalleran_tom-,0,Tom O'Halleran,1,-0.558945581,58.9,-0.36,-0.09,-0.15,3.39315349,3.15853722,0.23461627,1.82640875,10158,0,@TomOHalleran,@RepOHalleran,AZ-01-shedd_tiffany-,Tiffany Shedd,0,0,1.034735001,54.4,0.98,1.23,1.11,1.7152764,1.59172423,0.12355217,1.16302028,3317,0,@Tiffany_Shedd,NA,0,M,F,0,1,0.4403823076297575,0.8665004867572528,FALSE,0.5056807613038594,0.4913705583756345,10158,3317,FALSE,73553299.4,101106583.9,74361789.18,99704060.42,1/1/2019,1/1/2019,12/31/2020,12/31/2020,41330733.75,50903149.8,26890386.36,47330085.64,68221120.11,98233235.44,70995861.13,99070626.44,628843.09,0,AZ-Sen02
AZ-02,Arizona,FALSE,2,0,R+1,NA,55.1,55.1,NA,NA,NA,NA,209945,NA,170975,NA,134,Democratic,Ann Kirkpatrick,0,0,Ann Kirkpatrick,NA,NA,NA,NA,NA,Ann Kirkpatrick,NA,NA,43.9,54.5,44.70505542,49.60628675,NA,NA,NA,156676,141196,315839,48.37182298,49.93509982,299691,144966,149651,68.33801459,3.538288977,22.4959908,2.623358084,1.037292472,1.96612809,90.99850731,120,34.03642153,143,38.93475468,157,5.226699999999999,308,56123,333,41.73077626,Dense suburban,0.170871146,0.223304459,0.408930803,0.196893591,2021-08-04T00:00:00Z,NA,NA,AZ-02-kirkpatrick_ann-,0,Ann Kirkpatrick,1,-0.693895305,77.1,-0.46,-0.8,-0.68,1.87686237,1.48077587,0.3960865,1.16076006,10929,0,@Ann_Kirkpatrick,@RepKirkpatrick,AZ-02-martin_brandon-,Brandon Martin,0,0,1.034735001,43.3,NA,1.66,1.66,0.37970402,0.3171236,0.06258042,0.37366055,1107,0,@PathForFreedom,NA,0,F,M,1,0,0.24825223045357053,0.9515427737332772,FALSE,0.4740156845893538,0.4461382113821138,10929,1107,FALSE,73553299.4,101106583.9,74361789.18,99704060.42,1/1/2019,1/1/2019,12/31/2020,12/31/2020,41330733.75,50903149.8,26890386.36,47330085.64,68221120.11,98233235.44,70995861.13,99070626.44,628843.09,0,AZ-Sen02
AZ-03,Arizona,FALSE,3,0,D+13,NA,64.6,64.6,NA,NA,NA,NA,174243,NA,95594,NA,0,Democratic,Raul Grijalva,0,0,Raul Grijalva,NA,NA,NA,NA,NA,Raul Grijalva,NA,NA,35.7,62.8,32.52318914,62.44364249,NA,NA,NA,130466,67952,208934,61.44046759,36.94371728,177248,108902,65482,36.11070219,5.225967908,52.13665328,1.763369856,3.519379193,1.24287607,76.02850085,412,16.15317026,419,26.26783311,331,4.6643,376,55631,338,26.62520321,Dense suburban,0.176423801,0.257885821,0.447550938,0.11813944,2021-08-04T00:00:00Z,NA,NA,AZ-03-grijalva_raul-,0,Raul Grijalva,1,-1.259542261,100,-1.13,-1.34,-1.21,0.85759171,0.66831616,0.18927555,0.58019245,0,0,@standwithraul,@RepRaulGrijalva,AZ-03-wood_daniel-,Daniel Wood,0,0,1.034735001,100,1.16,NA,1.16,0.04194153,0.025683,0.01625853,0.03514153,0,0,@DWood4Congress,NA,0,M,M,0,0,0.11313944644397728,0.8769755969486567,FALSE,0.3424689292302112,0.3624365482233503,0,0,FALSE,73553299.4,101106583.9,74361789.18,99704060.42,1/1/2019,1/1/2019,12/31/2020,12/31/2020,41330733.75,50903149.8,26890386.36,47330085.64,68221120.11,98233235.44,70995861.13,99070626.44,628843.09,0,AZ-Sen02
