stateDist,state,senate,district,2022 District Description,Notes,competitiveness,piv2022,biden2020Pct,trump2020Pct,clinton2016Pct,trump2016Pct,incumbentMember,incumbentParty,district_jungleElec,samePartyGen2022,demCand,demCand2,repCand,repCand2,thirdCand,thirdParty,winner2022,demPct,demPct2Party,demPct2ndDem,repPct2ndRep...27,repPct_incomplete,repPct2ndRep...29,thirdPct,demCong2022_count,dem2Cong2022_count,repCong2022_count,rep2Cong2022_count,otherCong2022_count,primaryDate,demRunoff,repRunoff,primaryNotes,demGovCand,demGovCand2,repGovCand,repGovCand2,thirdGovCand,thirdGovParty,demGovCandPctByDistrict2022,repGovCandPctByDistrict2022,govCandResultsByDistrictSources,demSenateCand,demSenateCand2,repSenateCand,repSenateCand2,thirdSenateCand,thirdSenateParty,demSenCandPctByDistrict2022,repSenCandPctByDistrict2022,demSenCandPctByDistrictSpecialElections2022,repSenCandPctByDistrictSpecialElections2022,senCandResultsByDistrictSources,CHECKrepReceipts,CHECKdemReceipts,whitePct,hispPct,blackPct,asianPct,nativePct,pacificPct,whitePct_acs,hispPct_acs,blackPct_acs,asianPct_acs,nativePct_acs,pacificPct_acs,baPct,baRank_acs,whiteBAPct,nonCollWhitePct,medianIncome,dem_candStem,dem_partyLeader,dem_candidate,dem_inc,dem_thetaStart,dem_primaryPct,dem_webIdeal,dem_twIdeal,dem_avgIdeal,dem_receipt,dem_itemized,dem_Individual_Unitemized_Contribution,dem_Individual_Contribution,dem_followersCampaign,dem_followersOfficial,dem_screenName,dem_officialScreenName,rep_candStem,rep_candidate,rep_partyLeader,rep_inc,rep_thetaStart,rep_primaryPct,rep_webIdeal,rep_twIdeal,rep_avgIdeal,rep_receipt,rep_Itemized,rep_Individual_Unitemized_Contribution,rep_Individual_Contribution,rep_followersCampaign,rep_followersOfficial,rep_screenName,rep_officialScreenName,onePartyGeneral,house_cand_dem_gender,house_cand_rep_gender,rep_man_vs_dem_woman,dem_man_vs_rep_woman,probCon_dem,probCon_rep,UtahDum,trump2016Pct2Party,trump2020Pct2Party,dem_followers,rep_followers,moneyOutlier,Sen_Total_Receipt_Republican,Sen_Total_Receipt_Democrat,Sen_Total_Disbursement_Republican,Sen_Total_Disbursement_Democrat,Sen_Coverage_Start_Date_Republican,Sen_Coverage_Start_Date_Democrat,Sen_Coverage_End_Date_Republican,Sen_Coverage_End_Date_Democrat,Sen_Individual_Itemized_Contribution_Republican,Sen_Individual_Itemized_Contribution_Democrat,Sen_Individual_Unitemized_Contribution_Republican,Sen_Individual_Unitemized_Contribution_Democrat,Sen_Individual_Contribution_Republican,Sen_Individual_Contribution_Democrat,Sen_Total_Contribution_Republican,Sen_Total_Contribution_Democrat,Sen_Other_Receipts_Republican,Sen_Other_Receipts_Democrat,senState
AK-00,Alaska,FALSE,0,Entire state,NA,2,R+8,43.00652,53.12289,36.6,51.3,VACANT (Young),Republican,0,0,Mary Peltola,NA,Sarah Palin,NA,NA,NA,Mary Peltola,55,54.9636813569638,NA,NA,45,NA,NA,137263,NA,112471,NA,0,NA,NA,NA,NA,Les S. Gara,NA,Mike Dunleavy,Charlie Pierce,Bill Walker,No Party Affiliation,NA,NA,NA,Patricia Chesbro,NA,Lisa Murkowski,Kelly Tshibaka,NA,NA,NA,NA,NA,NA,NA,3775265.74,5966661.85,61.4762013924112,6.03624890117924,4.27163751820839,7.83515612731339,19.0859977292542,2.0187616312547,66.096631238968,5.87430052202651,3.82468922522252,5.46494160063094,16.907462350246,1.05081308446314,29.9868028032666,235,36.3629209698794,42.0619654577895,7.7845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,NA,NA,FALSE,0.583617747440273,0.552618496254164,0,0,NA,9319257.3,188577.24,9685516.06,180946.8,01/01/2021,04/01/2022,12/31/2022,12/31/2022,5427624.89,83825.23,385475.41,94660.58,5813100.3,178485.81,8491000.29,188417.23,6933.84,10,AK-Sen03
AL-01,Alabama,FALSE,1,Southwest: Mobile,NA,6,R+16,35.33698,63.63646,33.8,62.9,Jerry Carl,Republican,0,0,NA,NA,Jerry Carl,NA,Alexander Remrey,Libertarian,Jerry Carl,NA,NA,NA,NA,84.2,NA,15.8,0,NA,140592,NA,27558,NA,NA,NA,NA,Yolanda Flowers,NA,Kay Ivey,NA,James Blake,Libretarian,NA,NA,NA,Will Boyd,NA,Katie Britt,NA,John Sophocleus,Libretarian,28.6,69,NA,NA,2022 US Senate by CD,1100196.76,0,65.9976503717255,3.23100791878537,25.6086164994126,1.84598276341396,3.10581398477226,0.120171827777628,68.1591381908191,2.16122789928425,26.4824917072844,1.32385452500107,1.71665266698577,0.0225360716833328,25.607516943931,311,28.9606763452908,48.4197907796365,5.227799999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,AL-01-carl_jerry-,Jerry Carl,0,1,1.05655090790339,100,1.05,1.05,1.05,1.31371857,1.10555878,0.20815979,0.53238869,FALSE,FALSE,@CarlForAlabama,@RepJerryCarl,0,NA,M,NA,0,NA,0.8531409436241041,FALSE,0.6504653567735265,0.6429650217270412,0,0,NA,11452928.7,134567.28,9744197.22,121509.06,03/17/2021,01/01/2022,12/31/2022,12/31/2022,8388238.08,83035.1,692611.22,29118.86,9080849.3,112153.96,10737609.3,127313.17,0,1854.11,AL-Sen03
AL-02,Alabama,FALSE,2,"Southeast: Dothan, the ",NA,6,R+17,34.78985,64.23528,32.3,64.8,Barry Moore,Republican,0,0,Phyllis Harvey-Hall,NA,Barry Moore,NA,Jonathan Realz,Libertarian,Barry Moore,29.1584782947412,29.6786273366279,NA,NA,69.1,NA,1.7,58014,NA,137460,NA,3487,NA,NA,NA,NA,Yolanda Flowers,NA,Kay Ivey,NA,NA,NA,NA,NA,NA,Will Boyd,NA,Katie Britt,NA,John Sophocleus,Libretarian,28.3,69.6,NA,NA,2022 US Senate by CD,1201867.87,115503.13,62.0251507593105,3.57429121157946,30.119764666644,2.28375923697768,2.09906451225351,0.14954893244656,64.9109398033821,2.10702246927259,30.7783025511498,1.11454352541291,1.05801823457057,0.00751166655712153,25.2648443766546,318,27.4772063719715,47.0752269156206,5.0597,AL-02-harveyhall_phyllis-,0,Phyllis Harvey-Hall,0,-0.940019875808762,68.8,-1.25,-1.41,-1.3,0.06044024,0.05760936,0.00283088,0.04893606,FALSE,FALSE,@PhyllisDHHAll,NA,AL-02-moore_barry-,Barry Moore,0,1,1.17974412181045,100,1.37,1.19,1.26,0.89177646,0.85115321,0.04062325,0.52442135,FALSE,FALSE,NA,@RepBarryMoore,0,F,M,1,0,0.09680048458561034,0.8961653188786995,FALSE,0.6673532440782698,0.6486765531133359,0,0,FALSE,11452928.7,134567.28,9744197.22,121509.06,03/17/2021,01/01/2022,12/31/2022,12/31/2022,8388238.08,83035.1,692611.22,29118.86,9080849.3,112153.96,10737609.3,127313.17,0,1854.11,AL-Sen03
AL-03,Alabama,FALSE,3,"East: Auburn, Anniston, Talladega",NA,6,R+19,32.45139,66.56136,31.1,65.7,Mike Rogers,Republican,0,0,Lin Veasey,NA,Mike Rogers,NA,Thomas Casson,Libertarian,Mike Rogers,25.1352373349579,26.0867432315315,NA,NA,71.2,NA,2,47859,NA,135602,NA,6945,NA,NA,NA,NA,Yolanda Flowers,NA,Kay Ivey,NA,NA,NA,NA,NA,NA,Will Boyd,NA,Katie Britt,NA,John Sophocleus,Libretarian,26.2,71.4,NA,NA,2022 US Senate by CD,2082954.59,8752,67.736819067096,3.07187376502133,24.9894999122778,2.08991619423656,2.10799229461917,0.129190952734542,71.3097500283826,1.86710986951448,24.9943700086171,0.8738118857028,0.791548871116934,0.0677460120118891,21.052989751671,390,22.8738359867828,54.9984747643055,4.9464999999999995,AL-03-veasey_lin-,0,Lin Veasey,0,-0.940019875808762,100,NA,NA,NA,0.009968,0.007355,0.002613,0.004413,FALSE,FALSE,NA,NA,AL-03-rogers_mike-,Mike Rogers,0,1,0.995463363817252,82.3,0.98,1.08,1.05,2.26299522,2.25591634,0.00707888,1.17006481,FALSE,FALSE,@MikeRogersCamp,@RepMikeRogersAL,0,F,M,1,0,NA,0.8531409436241041,FALSE,0.6787190082644627,0.6722503919949703,0,0,FALSE,11452928.7,134567.28,9744197.22,121509.06,03/17/2021,01/01/2022,12/31/2022,12/31/2022,8388238.08,83035.1,692611.22,29118.86,9080849.3,112153.96,10737609.3,127313.17,0,1854.11,AL-Sen03
AL-04,Alabama,FALSE,4,"North central: Cullman, Fort Payne",NA,6,R+33,18.61475,80.41391,18,79,Robert Aderholt,Republican,0,0,Rick Neighbors,NA,Robert Aderholt,NA,Johnny Cochran,Libertarian,Robert Aderholt,13.6379660047105,13.9504256620103,NA,NA,84.2,NA,2.2,26694,NA,164655,NA,4384,NA,NA,NA,NA,Yolanda Flowers,NA,Kay Ivey,NA,NA,NA,NA,NA,NA,Will Boyd,NA,Katie Britt,NA,John Sophocleus,Libretarian,13.9,83.8,NA,NA,2022 US Senate by CD,1410882.24,22128.3,82.412660280904,5.65745963645387,7.69941722573557,0.821925690437359,3.52092035538262,0.0909854297443237,87.7163569253203,2.35970501788576,7.72733141438,0.448283194981355,1.68851438075781,0.0353158298460534,17.694992262865,426,18.3469356052911,71.6230934049245,5.0226999999999995,AL-04-neighbors_rick-,0,Rick Neighbors,0,-0.940019875808762,54.1,NA,-1.19,-1.19,0.0226483,0.0180225,0.0046258,0.0224983,FALSE,FALSE,@VoteNeighbors,NA,AL-04-aderholt_robert-,Robert Aderholt,0,1,1.11254782331569,100,0.97,1.05,0.99,1.5408072,1.50699222,0.03381498,0.84570098,FALSE,FALSE,NA,@Robert_Aderholt,0,M,M,0,0,0.11702319602310875,0.8389129404891691,FALSE,0.8144329896907216,0.812026639560709,0,0,FALSE,11452928.7,134567.28,9744197.22,121509.06,03/17/2021,01/01/2022,12/31/2022,12/31/2022,8388238.08,83035.1,692611.22,29118.86,9080849.3,112153.96,10737609.3,127313.17,0,1854.11,AL-Sen03
AL-05,Alabama,FALSE,5,North: Huntsville,NA,6,R+17,35.6352,62.73161,30.8,63.8,OPEN (Brooks),Republican,0,0,Kathy Warner-Stanton,NA,Dale Strong,NA,P.J. Greer,Libertarian,Dale Strong,29.5501537794901,30.5787742171317,NA,NA,67.2,NA,3.2,62740,NA,142435,NA,7142,NA,NA,NA,NA,Yolanda Flowers,NA,Kay Ivey,NA,NA,NA,NA,NA,NA,Will Boyd,NA,Katie Britt,NA,John Sophocleus,Libretarian,29.7,67.3,NA,NA,2022 US Senate by CD,2928055.31,85150,70.8870661651107,5.28273106825354,18.0579735453601,2.52536142141568,3.26682549667045,0.177480946636326,75.7763617076883,2.58236352176119,18.2166356634434,1.63362645471736,1.67167586514367,0.0653373714391133,33.8258823727296,168,35.0835849885671,49.1912974467275,6.8269,AL-05-warner_kathy-,0,Kathy Warner-Stanton,0,-0.940019875808762,57.2,-1.27,-1.2,-1.24,0.08515,0.08335,0.0018,0.00515,FALSE,FALSE,@Kathy_Congress,NA,AL-05-strong_dale-,Dale Strong,0,0,0.991787533242372,44.7,0.96,NA,0.96,1.99435359,1.96461833,0.02973526,1.39376991,FALSE,FALSE,@maccochairman,NA,0,F,M,1,0,0.10748769707458689,0.8314723925331622,FALSE,0.6744186046511628,0.6377314665383579,0,0,FALSE,11452928.7,134567.28,9744197.22,121509.06,03/17/2021,01/01/2022,12/31/2022,12/31/2022,8388238.08,83035.1,692611.22,29118.86,9080849.3,112153.96,10737609.3,127313.17,0,1854.11,AL-Sen03
AL-06,Alabama,FALSE,6,Central: Birmingham suburbs,NA,6,R+18,34.4488,64.35532,28.5,66.8,Gary Palmer,Republican,0,0,NA,NA,Gary Palmer,NA,Andria Chieffo,Libertarian,Gary Palmer,NA,NA,NA,NA,84.7,NA,15.3,0,NA,154233,NA,29970,NA,NA,NA,NA,Yolanda Flowers,NA,Kay Ivey,NA,NA,NA,NA,NA,NA,Will Boyd,NA,Katie Britt,NA,John Sophocleus,Libretarian,29.1,67.4,NA,NA,2022 US Senate by CD,1210827.76,0,71.1638535106811,5.37964025885139,18.930590310093,2.28414263624282,2.16138015448518,0.104836986633737,76.1495866632631,2.21198971076246,19.512243014511,1.36862567989475,0.720246627525674,0.0337738331337012,37.3721250967603,122,40.7773009060563,45.0978405708662,6.9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,AL-06-palmer_gary-,Gary Palmer,0,1,1.13087408654153,100,1.23,1.01,1.15,1.27890276,1.27773592,0.00116684,0.68696184,FALSE,FALSE,@Palmer4Alabama,@USRepGaryPalmer,0,NA,M,NA,0,NA,0.8749280643628498,FALSE,0.7009443861490031,0.6513424743826471,0,0,NA,11452928.7,134567.28,9744197.22,121509.06,03/17/2021,01/01/2022,12/31/2022,12/31/2022,8388238.08,83035.1,692611.22,29118.86,9080849.3,112153.96,10737609.3,127313.17,0,1854.11,AL-Sen03
AL-07,Alabama,FALSE,7,"Birmingham, Montgomery, the ",NA,0,D+14,65.62376,33.60224,64.1,33.5,Terri Sewell,Democrat,0,0,Terri Sewell,NA,Beatrice Nichols,NA,Gavin Goodman,Libertarian,Terri Sewell,63.5418170568217,64.6386815561582,NA,NA,34.8,NA,1.7,123233,NA,67416,NA,3291,NA,NA,NA,NA,Yolanda Flowers,NA,Kay Ivey,NA,NA,NA,NA,NA,NA,Will Boyd,NA,Katie Britt,NA,John Sophocleus,Libretarian,61.3,37,NA,NA,2022 US Senate by CD,46704.71,2162002.83,38.6040731110943,3.65361832319075,55.2582705913211,1.53679055463528,1.29315732123147,0.10139649020274,40.2782457116909,1.24035038891412,57.1449236087714,0.77471545549094,0.509213822198134,0.0170287254456765,22.7614131943174,364,32.183682373473,27.3152230462333,4.1736,AL-07-sewell_terri-,0,Terri Sewell,1,-1.45516527977181,100,-1.03,-1.08,-1.06,2.35906083,2.25796325,0.10109758,0.66612708,FALSE,FALSE,@Sewell4Congress,@RepTerriSewell,AL-07-nichols_beatrice-,Beatrice Nichols,0,0,0.991787533242372,100,1.2,NA,1.2,0.04772898,0.03197227,0.01575671,0.04628571,FALSE,FALSE,@NicholsForCongress,NA,0,F,F,0,0,0.14457229966390958,0.8849303297782918,FALSE,0.3432377049180328,0.3386435006953823,0,0,FALSE,11452928.7,134567.28,9744197.22,121509.06,03/17/2021,01/01/2022,12/31/2022,12/31/2022,8388238.08,83035.1,692611.22,29118.86,9080849.3,112153.96,10737609.3,127313.17,0,1854.11,AL-Sen03
AR-01,Arkansas,FALSE,1,"Northeast: Jonesboro, Arkansas Delta",NA,6,R+22,28.0747,68.981,30.1,65,Rick Crawford,Republican,0,0,Monte Hodges,NA,Rick Crawford,NA,NA,NA,Rick Crawford,26.2021768759718,26.2021768759718,NA,NA,73.8,NA,NA,54598,NA,153774,NA,0,NA,NA,NA,NA,Chris Jones,NA,Sarah Sanders,NA,Ricky Harrington,Libretarian,27.9,70.1,https://twitter.com/DrewSav/status/1679690346559594497,Natalie James,NA,John Boozman,NA,Kenneth Cates,Libretarian,25,71.8,NA,NA,NA,1062003.38,62243.81,75.7593184569606,3.12638699638539,16.8921264370794,0.962974860069874,2.77459722056718,0.186343234220838,79.1187906626086,1.96873342082484,16.513731047385,0.476782174070868,1.92004300114484,0.0446765141149862,17.1899776162668,427,18.5634145864309,64.4316415361382,4.5517,AR-01-hodges_monte-,0,Monte Hodges,0,-0.940019875808762,100,-1.09,-0.93,-1.07,0.06698381,0.06683381,1.5e-4,0.04198381,FALSE,FALSE,@MonteforAR,NA,AR-01-crawford_rick-,Rick Crawford,0,1,1.06876841672062,74.6,0.88,0.84,0.87,1.08741034,1.06560734,0.021803,0.48352034,FALSE,FALSE,@Crawford4Cong,@RepRickCrawford,0,M,M,0,0,0.14230965435593917,0.8078497978963037,FALSE,0.683491062039958,0.7107362061166937,0,0,FALSE,6769987.02,81480.89,6784608.71,81265.58,01/01/2021,04/01/2021,12/31/2022,12/31/2022,3058152.66,19874.22,167335.04,49563.05,3225487.7,69437.27,6048905.03,70512.27,1268.76,0,AR-Sen03
AR-02,Arkansas,FALSE,2,"Central: Little Rock, Conway",NA,6,R+9,42.11313,55.23764,39.5,54.5,French Hill,Republican,0,0,Quintessa Hathaway,NA,French Hill,NA,Michael White,Libertarian,French Hill,35.2559992858476,36.9949161635343,NA,NA,60,NA,4.7,86887,NA,147975,NA,11584,NA,NA,NA,NA,Chris Jones,NA,Sarah Sanders,NA,Ricky Harrington,Libretarian,42.8,55.5,https://twitter.com/DrewSav/status/1679690346559594497,Natalie James,NA,John Boozman,NA,Kenneth Cates,Libretarian,37.7,59.1,NA,NA,NA,3350051.45,20244,69.1182174201055,5.14976677775757,20.3339248265849,2.27730622303529,3.03154592538948,0.116182088394491,75.1571967327388,2.35982770022699,20.0386065881428,1.26043360917979,1.1565890364439,0.0319934225812794,31.3498640128447,203,33.0068920319373,50.350141952933,5.6091,AR-02-hathaway_quintessa-,0,Quintessa Hathaway,0,-0.940019875808762,100,-1.3,-1.45,-1.35,0,0,0,0,FALSE,FALSE,@DrQHathaway,NA,AR-02-hill_french-,French Hill,0,1,0.826454491845593,58.5,0.62,0.79,0.69,3.39628237,3.34013372,0.05614865,1.58106873,FALSE,FALSE,@ElectFrench,@RepFrenchHill,0,F,M,1,0,0.08850799143740201,0.7549029063256906,FALSE,0.5797872340425532,0.5674083522914097,0,0,FALSE,6769987.02,81480.89,6784608.71,81265.58,01/01/2021,04/01/2021,12/31/2022,12/31/2022,3058152.66,19874.22,167335.04,49563.05,3225487.7,69437.27,6048905.03,70512.27,1268.76,0,AR-Sen03
