state,county_name,gov_cand_dem,dem_gov_percent,pres_cand_dem,dem_pres_percent,dem_gov_avgIdeal,dem_pres_avgIdeal,dem_gov_votes,dem_pres_votes,dem_pres_inc,dem_gov_inc,gov_cand_rep,rep_gov_percent,pres_cand_rep,rep_pres_percent,rep_gov_avgIdeal,rep_pres_avgIdeal,rep_gov_votes,rep_pres_votes,rep_pres_inc,rep_gov_inc,Income.Median Houseold Income,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,population,year,state_medianIncome,state_blackPct,state_hispPct,state_baPct,state_trumppct2016,state_trumppct2020,gov_cand_dem_gender,gov_cand_rep_gender,rep_man_vs_dem_woman,dem_man_vs_rep_woman
Alabama,AUTAUGA,Yolanda Rochelle Flowers,0.208,Joseph R. Jr. Biden,0.2744,-1.45,-1.08,3515,7503,Challenger,Challenger,Kay Ivey,0.792,Donald J. Trump,0.7256,0.6,1.62,13387,19838,Incumbent,Incumbent,58731,20.1,3,26.6,58805,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,BALDWIN,Yolanda Rochelle Flowers,0.149,Joseph R. Jr. Biden,0.2273,-1.45,-1.08,10296,24578,Challenger,Challenger,Kay Ivey,0.851,Donald J. Trump,0.7727,0.6,1.62,58823,83544,Incumbent,Incumbent,58320,8.8,4.7,31.9,231767,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,BARBOUR,Yolanda Rochelle Flowers,0.396,Joseph R. Jr. Biden,0.4614,-1.45,-1.08,2549,4816,Challenger,Challenger,Kay Ivey,0.604,Donald J. Trump,0.5386,0.6,1.62,3888,5622,Incumbent,Incumbent,32525,48.2,4.5,11.6,25223,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,BIBB,Yolanda Rochelle Flowers,0.1657,Joseph R. Jr. Biden,0.2088,-1.45,-1.08,930,1986,Challenger,Challenger,Kay Ivey,0.8343,Donald J. Trump,0.7912,0.6,1.62,4681,7525,Incumbent,Incumbent,47542,21.3,2.8,10.4,22293,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,BLOUNT,Yolanda Rochelle Flowers,0.0588,Joseph R. Jr. Biden,0.0965,-1.45,-1.08,930,2640,Challenger,Challenger,Kay Ivey,0.9412,Donald J. Trump,0.9035,0.6,1.62,14895,24711,Incumbent,Incumbent,49358,1.7,9.7,13.1,59134,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,BULLOCK,Yolanda Rochelle Flowers,0.6925,Joseph R. Jr. Biden,0.7504,-1.45,-1.08,1806,3446,Challenger,Challenger,Kay Ivey,0.3075,Donald J. Trump,0.2496,0.6,1.62,802,1146,Incumbent,Incumbent,37785,70.3,8.6,12.1,10357,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,BUTLER,Yolanda Rochelle Flowers,0.3344,Joseph R. Jr. Biden,0.4208,-1.45,-1.08,1937,3965,Challenger,Challenger,Kay Ivey,0.6656,Donald J. Trump,0.5792,0.6,1.62,3856,5458,Incumbent,Incumbent,40688,45,1.5,16.1,19051,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,CALHOUN,Yolanda Rochelle Flowers,0.2378,Joseph R. Jr. Biden,0.3024,-1.45,-1.08,6912,15216,Challenger,Challenger,Kay Ivey,0.7622,Donald J. Trump,0.6976,0.6,1.62,22158,35101,Incumbent,Incumbent,47255,21.3,4.1,18.5,116441,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,CHAMBERS,Yolanda Rochelle Flowers,0.3265,Joseph R. Jr. Biden,0.421,-1.45,-1.08,2890,6365,Challenger,Challenger,Kay Ivey,0.6735,Donald J. Trump,0.579,0.6,1.62,5961,8753,Incumbent,Incumbent,42289,40.2,2.6,13.3,34772,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,CHEROKEE,Yolanda Rochelle Flowers,0.0857,Joseph R. Jr. Biden,0.133,-1.45,-1.08,653,1624,Challenger,Challenger,Kay Ivey,0.9143,Donald J. Trump,0.867,0.6,1.62,6971,10583,Incumbent,Incumbent,41919,4.1,1.7,12.8,24971,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,CHILTON,Yolanda Rochelle Flowers,0.1074,Joseph R. Jr. Biden,0.1604,-1.45,-1.08,1268,3073,Challenger,Challenger,Kay Ivey,0.8926,Donald J. Trump,0.8396,0.6,1.62,10541,16085,Incumbent,Incumbent,47468,10.3,8.2,12.7,45014,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
Alabama,CHOCTAW,Yolanda Rochelle Flowers,0.3581,Joseph R. Jr. Biden,0.4213,-1.45,-1.08,1841,3127,Challenger,Challenger,Kay Ivey,0.6419,Donald J. Trump,0.5787,0.6,1.62,3300,4296,Incumbent,Incumbent,35892,41.7,1,11.9,12665,2022,50536,26.8,4.6,25.5,62.08309236440906,62.0316431668648,F,F,0,0
