state,houseDist,house_cand_dem,dem_house_percent,dem_house_inc,dem_house_avgIdeal,house_cand_rep,rep_house_percent,rep_house_inc,rep_house_avgIdeal,gov_cand_dem,gov_candStem_dem,dem_gov_percent,gov_inc_dem,dem_gov_avgIdeal,gov_cand_rep,gov_candStem_rep,rep_gov_percent,gov_inc_rep,rep_gov_avgIdeal
Delaware,DE-00,Lisa Blunt Rochester,0.588486467,1,-0.79,Lee Murphy,0.411513533,0,1.04,JOHN C CARNEY JR,DE-Gov-carney_john-,0.6061546103,1,-0.37,JULIANNE E MURRAY,DE-Gov-murray_julianne-,0.3938453897,0,1.39
Indiana,IN-01,Frank Mrvan,0.5866694321,0,-0.61,Mark Leyva,0.4133305679,0,1.24,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.5085698534,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.4914301466,1,0.61
Indiana,IN-02,Pat Hackett,0.2937116749,0,-0.97,Jackie Walorski,0.7062883251,1,0.83,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.2685826904,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.7314173096,1,0.61
Indiana,IN-03,Chip Coldiron,0.3298384612,0,-0.57,Jim Banks,0.6701615388,1,1.56,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.2870000759,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.7129999241,1,0.61
Indiana,IN-04,Joe Mackey,0.2921847478,0,-0.84,Jim Baird,0.7078152522,1,0.65,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.2572101671,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.7427898329,1,0.61
Indiana,IN-05,Christina Hale,0.4829690402,0,-0.42,Victoria Spartz,0.5170309598,0,1.19,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.3789668483,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.6210331517,1,0.61
Indiana,IN-06,Jeannine Lee Lake,0.3110873761,0,-0.77,Greg Pence,0.6889126239,1,0.97,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.2773342006,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.7226657994,1,0.61
Indiana,IN-07,Andre Carson,0.6243523683,1,-0.87,Susan Marie Smith,0.3756476317,0,1.2,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.5858784225,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.4141215775,1,0.61
Indiana,IN-08,E. Thomasina Marsili,0.323671531,0,-0.74,Larry Bucshon,0.676328469,1,1.06,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.2946429199,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.7053570801,1,0.61
Indiana,IN-09,Andy Ruff,0.401286634,0,-1.21,Trey Hollingsworth,0.598713366,1,0.77,"WOODROW ""WOODY"" MYERS",IN-Gov-myers_woodrow-,0.3767306185,0,-0.78,ERIC HOLCOMB,IN-Gov-holcumb_eric-,0.6232693815,1,0.61
Missouri,MO-01,Cori Bush,0.8060363658,0,-1.41,Anthony Rogers,0.1939636342,0,NA,NICOLE GALLOWAY,MO-Gov-galloway_nicole-,0.8028747105,0,-0.59,MIKE PARSON,MO-Gov-parson_mike-,0.1971252895,1,0.67
Missouri,MO-02,Jill Schupp,0.4673095772,0,-0.59,Ann Wagner,0.5326904228,1,0.9,NICOLE GALLOWAY,MO-Gov-galloway_nicole-,0.4732126484,0,-0.59,MIKE PARSON,MO-Gov-parson_mike-,0.5267873516,1,0.67
Missouri,MO-03,Megan Rezabek,0.2909933552,0,NA,Blaine Luetkemeyer,0.7090066448,1,1.06,NICOLE GALLOWAY,MO-Gov-galloway_nicole-,0.3341472699,0,-0.59,MIKE PARSON,MO-Gov-parson_mike-,0.6658527301,1,0.67
Missouri,MO-04,Lindsey Simmons,0.3050169745,0,-0.93,Vicky Hartzler,0.6949830255,1,1,NICOLE GALLOWAY,MO-Gov-galloway_nicole-,0.3188062875,0,-0.59,MIKE PARSON,MO-Gov-parson_mike-,0.6811937125,1,0.67
