state,houseDist,house_cand_dem,dem_house_percent,sen_cand_dem,dem_house_avgIdeal,dem_sen_avgIdeal,house_cand_rep,rep_cand_percent,sen_cand_rep,rep_house_avgIdeal,rep_sen_avgIdeal,dem_sen_inc,rep_sen_inc,dem_house_inc,rep_house_inc,dem_sen_percent,rep_sen_percent,Cand_Office_St,Total_Receipt_Republican,Total_Receipt_Democrat,Total_Disbursement_Republican,Total_Disbursement_Democrat,Coverage_Start_Date_Republican,Coverage_Start_Date_Democrat,Coverage_End_Date_Republican,Coverage_End_Date_Democrat,Individual_Itemized_Contribution_Republican,Individual_Itemized_Contribution_Democrat,Individual_Unitemized_Contribution_Republican,Individual_Unitemized_Contribution_Democrat,Individual_Contribution_Republican,Individual_Contribution_Democrat,Total_Contribution_Republican,Total_Contribution_Democrat,Other_Receipts_Republican,Other_Receipts_Democrat,sen_cand_rep_gender,sen_cand_dem_gender,house_cand_rep_gender,house_cand_dem_gender,senState
Oklahoma,OK-01,Kojo Asamoa-Caesar,0.3390878361,Abby Broyles,-1.33,-0.77,Kevin Hern,0.6609121639,Jim Inhofe,1.36,0.91,Challenger,Incumbent,0,1,0.39290933172487985,0.6070906682751201,OK,4670324.27,2089401.41,4973446.46,2062803.89,01/01/2019,10/01/2019,12/31/2020,12/31/2020,2330342.7,1231016.71,393329.82,770835.44,2723672.52,2001852.15,4358322.52,2084852.15,158051.47,171.76,M,F,M,M,OK-Sen02
Oklahoma,OK-02,Danyell Lanier,0.2266994782,Abby Broyles,-0.93,-0.77,Markwayne Mullin,0.7733005218,Jim Inhofe,1.34,0.91,Challenger,Incumbent,0,1,0.25014625690657616,0.7498537430934239,OK,4670324.27,2089401.41,4973446.46,2062803.89,01/01/2019,10/01/2019,12/31/2020,12/31/2020,2330342.7,1231016.71,393329.82,770835.44,2723672.52,2001852.15,4358322.52,2084852.15,158051.47,171.76,M,F,M,F,OK-Sen02
Oklahoma,OK-03,Zoe Ann Midyett,0.2150896894,Abby Broyles,-0.52,-0.77,Frank Lucas,0.7849103106,Jim Inhofe,0.76,0.91,Challenger,Incumbent,0,1,0.25180616265727157,0.7481938373427284,OK,4670324.27,2089401.41,4973446.46,2062803.89,01/01/2019,10/01/2019,12/31/2020,12/31/2020,2330342.7,1231016.71,393329.82,770835.44,2723672.52,2001852.15,4358322.52,2084852.15,158051.47,171.76,M,F,M,F,OK-Sen02
Oklahoma,OK-04,Mary Brannon,0.2979987152,Abby Broyles,-0.39,-0.77,Tom Cole,0.7020012848,Jim Inhofe,0.97,0.91,Challenger,Incumbent,0,1,0.4059429272223264,0.5940570727776736,OK,4670324.27,2089401.41,4973446.46,2062803.89,01/01/2019,10/01/2019,12/31/2020,12/31/2020,2330342.7,1231016.71,393329.82,770835.44,2723672.52,2001852.15,4358322.52,2084852.15,158051.47,171.76,M,F,M,F,OK-Sen02
Oklahoma,OK-05,Kendra Horn,0.4793762691,Abby Broyles,-0.34,-0.77,Stephanie Bice,0.5206237309,Jim Inhofe,1.02,0.91,Challenger,Incumbent,1,0,0.478358053900443,0.5216419460995569,OK,4670324.27,2089401.41,4973446.46,2062803.89,01/01/2019,10/01/2019,12/31/2020,12/31/2020,2330342.7,1231016.71,393329.82,770835.44,2723672.52,2001852.15,4358322.52,2084852.15,158051.47,171.76,M,F,F,F,OK-Sen02
Alaska,AK-00,Alyse Galvin,0.4541595877,Al Gross,-0.61,-0.82,Don Young,0.5458404123,Dan Sullivan,0.83,0.66,Challenger,Incumbent,0,1,0.43320481641853015,0.5667951835814699,AK,8978098.94,19572461.76,9372898.58,19545630.9,01/01/2019,02/13/2019,12/31/2020,12/31/2020,5381235.88,11360792.16,867949.74,6771953.63,6249185.62,18132745.79,8198652.59,19224278.92,16865.95,95160.97,M,M,M,F,AK-Sen02
Kentucky,KY-01,James Rhodes,0.2500441494,Amy McGrath,-0.78,-0.63,James Comer,0.7499558506,Mitch McConnell,1.34,0.5,Challenger,Incumbent,0,1,0.2980020190520519,0.7019979809479481,KY,68094902.86,96331682.31,64878657.61,92942100.01,01/01/2019,01/01/2019,12/31/2020,12/31/2020,32082571.29,38494247.22,27785580.96,55511589.62,59868152.25,94005836.84,63474756.83,94399083.89,2472.15,52164,M,F,M,M,KY-Sen02
Kentucky,KY-02,Hank Linderman,0.2701118259,Amy McGrath,-0.94,-0.63,Brett Guthrie,0.7298881741,Mitch McConnell,0.89,0.5,Challenger,Incumbent,0,1,0.347475207302105,0.652524792697895,KY,68094902.86,96331682.31,64878657.61,92942100.01,01/01/2019,01/01/2019,12/31/2020,12/31/2020,32082571.29,38494247.22,27785580.96,55511589.62,59868152.25,94005836.84,63474756.83,94399083.89,2472.15,52164,M,F,M,M,KY-Sen02
Kentucky,KY-03,John Yarmuth,0.6266402898,Amy McGrath,-0.99,-0.63,Rhonda Palazzo,0.3733597102,Mitch McConnell,1.11,0.5,Challenger,Incumbent,1,0,0.6227464593168565,0.3772535406831436,KY,68094902.86,96331682.31,64878657.61,92942100.01,01/01/2019,01/01/2019,12/31/2020,12/31/2020,32082571.29,38494247.22,27785580.96,55511589.62,59868152.25,94005836.84,63474756.83,94399083.89,2472.15,52164,M,F,F,M,KY-Sen02
Kentucky,KY-04,Alexandra Owensby,0.3291178624,Amy McGrath,-0.9,-0.63,Thomas Massie,0.6708821376,Mitch McConnell,1.75,0.5,Challenger,Incumbent,0,1,0.373412040593539,0.626587959406461,KY,68094902.86,96331682.31,64878657.61,92942100.01,01/01/2019,01/01/2019,12/31/2020,12/31/2020,32082571.29,38494247.22,27785580.96,55511589.62,59868152.25,94005836.84,63474756.83,94399083.89,2472.15,52164,M,F,M,F,KY-Sen02
