row,candidate,chamber,incumbent,stateDist,candStem,lname,generalElec,party,nominateAdj,duckM,fname,state,candStemDIME,recipient.cfscore,dwdime,recipient.cfscore.dyn,district,gen.vote.pct,...1,avgIdeal,idealTwitter,idealWeb,twWeight,liberal,conservative,moderate,thetaExternal,thetaStart,sigmaStart,idealWebLibcon,seThetaWebLibcon,wordCountWebLibcon,idealTwitterLibcon,seThetaTwitterLibcon,wordCountTwitterLibcon,partyLeader,followersCampaign,followersOfficial,house,rep,webIdeal,twIdeal,prob,diff,year
1,Kelly Tshibaka,Senate,0,AK-Sen03,AK-Sen03-tshibaka_kelly-,tshibaka,1,R,NA,NA,kelly,AK,AK-Sen03-tshibaka_kelly-,1.557,1.529,1.556,AKS22,NA,1302,1.03,1.03,1.04,0.57,0,1,0,1.5,1.498417477,0.5,1.04,0.0404,808,1.03,0.0108,12034,0,NA,NA,0,1,1.04,1.03,0.85,0.527,2022
2,Lisa Murkowski,Senate,1,AK-Sen03,AK-Sen03-murkowski_lisa-,murkowski,1,R,0.21,NA,lisa,AK,AK-Sen03-murkowski_lisa-,0.571,0.469,0.405,AKS22,NA,51,0.23,0.23,0.22,0.66,0,0,1,0.28,0.276666595,0.5,0.22,0.0223,1503,0.23,0.0055,33132,0,NA,NA,0,1,0.22,0.23,0.59,0.341,2022
3,Katie Britt,Senate,0,AL-Sen03,AL-Sen03-britt_katie-,britt,1,R,NA,NA,katie,AL,AL-Sen03-britt_katie-,1.237,1.419,1.172,ALS22,NA,1320,0.84,0.77,0.9,0.44,0,1,0,1.5,1.498417477,0.5,0.9,0.0263,2245,0.77,0.009,19649,0,NA,NA,0,1,0.9,0.77,0.8,0.397,2022
4,Will Boyd,Senate,0,AL-Sen03,AL-Sen03-boyd_will-,boyd,1,D,NA,NA,willie,AL,AL-Sen03-boyd_willie-,-0.815,-0.838,-0.839,ALS22,NA,553,-1.26,-0.89,-1.35,0.19,0,0,0,NA,-0.940019876,0.5,-1.35,0.0389,1799,-0.89,0.031,4604,0,NA,NA,0,0,-1.35,-0.89,0.1,0.445,2022
5,John Boozman,Senate,1,AR-Sen03,AR-Sen03-boozman_john-,boozman,1,R,0.425,NA,john,AR,AR-Sen03-boozman_john-,1.03,0.895,0.991,ARS22,NA,342,0.68,0.65,0.81,0.78,0,0,0,0.89,0.887542036,0.5,0.81,0.0432,715,0.65,0.0071,29146,0,NA,NA,0,1,0.81,0.65,0.75,0.35,2022
6,Natalie James,Senate,0,AR-Sen03,AR-Sen03-james_natalie-,james,1,D,NA,NA,natalie,AR,AR-Sen03-james_natalie-,-1.025,-1.142,-1.025,ARS22,NA,561,-1.29,-1.35,-1.17,0.69,0,0,0,NA,-0.940019876,0.5,-1.17,0.0494,974,-1.35,0.0121,24743,0,NA,NA,0,0,-1.17,-1.35,0.1,0.265,2022
7,Blake Masters,Senate,0,AZ-Sen03,AZ-Sen03-masters_blake-,masters,1,R,NA,NA,blake,AZ,AZ-Sen03-masters_blake-,1.49,1.698,1.486,AZS22,NA,1322,1.27,1.51,1.1,0.42,0,1,0,1.5,1.498417477,0.5,1.1,0.0284,1642,1.51,0.0088,13169,0,NA,NA,0,1,1.1,1.51,0.9,0.22,2022
8,Mark Kelly,Senate,1,AZ-Sen03,AZ-Sen03-kelly_mark-,kelly,1,D,-0.18,NA,mark,AZ,AZ-Sen03-kelly_mark-,-1.074,-0.744,-1.073,AZS22,NA,49,-0.21,-0.18,-0.34,0.82,0,0,1,-0.44,-0.436021419,0.5,-0.34,0.0466,644,-0.18,0.008,33122,0,NA,NA,0,0,-0.34,-0.18,0.42,-0.864,2022
9,Alex Padilla,Senate,1,CA-Sen03,CA-Sen03-padilla_alex-,padilla,1,D,-0.423,NA,alex,CA,CA-Sen03-padilla_alex-,-0.717,-1.09,-0.776,CAS22,NA,243,-1.28,-1.36,-0.95,0.8,0,0,0,-0.95,-0.945084287,0.5,-0.95,0.065,744,-1.36,0.0098,34051,0,NA,NA,0,0,-0.95,-1.36,0.1,0.563,2022
10,Mark Meuser,Senate,0,CA-Sen03,CA-Sen03-meuser_mark-,meuser,1,R,NA,NA,mark,CA,CA-Sen03-meuser_mark-,1.432,1.471,1.432,CAS22,NA,1524,1.18,1.44,0.93,0.49,0,0,0,NA,0.991787533,0.5,0.93,0.0385,1084,1.44,0.0099,11561,0,NA,NA,0,1,0.93,1.44,0.88,0.252,2022
11,Joe O'Dea,Senate,0,CO-Sen03,CO-Sen03-odea_joe-,odea,1,R,NA,NA,joseph,CO,CO-Sen03-odea_joseph-,1.395,0.928,1.395,COS22,NA,1545,0.9,1.12,0.79,0.35,0,0,0,NA,0.991787533,0.5,0.79,0.0256,2406,1.12,0.0103,14342,0,NA,NA,0,1,0.79,1.12,0.82,0.495,2022
12,Michael Bennet,Senate,1,CO-Sen03,CO-Sen03-bennet_michael-,bennet,1,D,-0.229,NA,michael,CO,CO-Sen03-bennet_michael-,-0.883,-0.794,-0.941,COS22,NA,311,-0.64,-0.62,-0.69,0.76,0,0,0,-0.54,-0.537833993,0.5,-0.69,0.0552,763,-0.62,0.0115,27062,0,NA,NA,0,0,-0.69,-0.62,0.26,-0.243,2022
13,Leora Levy,Senate,0,CT-Sen03,CT-Sen03-levy_leora-,levy,1,R,NA,NA,leora,CT,CT-Sen03-levy_leora-,1.315,0.873,1.315,CTS22,NA,1553,1.01,1.18,0.97,0.17,0,0,0,NA,0.991787533,0.5,0.97,0.0244,3021,1.18,0.0147,6938,0,NA,NA,0,1,0.97,1.18,0.84,0.305,2022
14,Richard Blumenthal,Senate,1,CT-Sen03,CT-Sen03-blumenthal_richard-,blumenthal,1,D,-0.436,NA,richard,CT,CT-Sen03-blumenthal_richard-,-0.799,-1.168,-0.768,CTS22,NA,236,-0.86,-0.9,-0.59,0.88,0,0,0,-0.95,-0.945084287,0.5,-0.59,0.0786,435,-0.9,0.011,36605,0,NA,NA,0,0,-0.59,-0.9,0.19,0.061,2022
15,Marco Rubio,Senate,1,FL-Sen03,FL-Sen03-rubio_marco-,rubio,1,R,0.604,NA,marco,FL,FL-Sen03-rubio_marco-,1.351,1.369,1.427,FLS22,NA,415,0.86,0.86,0.83,0.84,0,0,0,1.09,1.091167183,0.5,0.83,0.0648,502,0.86,0.0081,29733,0,NA,NA,0,1,0.83,0.86,0.81,0.491,2022
16,Val Demings,Senate,0,FL-Sen03,FL-Sen03-demings_val-,demings,1,D,NA,NA,val,FL,FL-Sen03-demings_val-,-0.882,-0.926,-0.885,FLS22,NA,714,-0.97,-1.01,-0.8,0.81,0,0,0,NA,-0.940019876,0.5,-0.8,0.0661,719,-1.01,0.0108,33526,0,NA,NA,0,0,-0.8,-1.01,0.17,0.088,2022
17,Herschel Walker,Senate,0,GA-Sen03,GA-Sen03-walker_herschel-,walker,1,R,NA,NA,herschel,GA,GA-Sen03-walker_herschel-,1.544,1.572,1.539,GAS22,NA,1304,1,1,1,0.35,0,1,0,1.5,1.498417477,0.5,1,0.0442,752,1,0.0178,4516,0,NA,NA,0,1,1,1,0.84,0.544,2022
18,Raphael Warnock,Senate,1,GA-Sen03,GA-Sen03-warnock_raphael-,warnock,1,D,-0.389,NA,raphael,GA,GA-Sen03-warnock_raphael-,-1.102,-1.058,-1.097,GAS22,NA,258,-0.76,-0.71,-0.86,0.64,0,0,0,-0.95,-0.945084287,0.5,-0.86,0.0418,1669,-0.71,0.0106,32721,0,NA,NA,0,0,-0.86,-0.71,0.22,-0.342,2022
19,Bob McDermott,Senate,0,HI-Sen03,HI-Sen03-mcdermott_bob-,mcdermott,1,R,NA,NA,robert,HI,HI-Sen03-mcdermott_robert-,1.003,0.529,1.827,HIS22,NA,1691,0.83,0.75,0.83,0.04,0,0,0,NA,0.991787533,0.5,0.83,0.058,582,0.75,0.0825,269,0,NA,NA,0,1,0.83,0.75,0.8,0.173,2022
20,Brian Schatz,Senate,1,HI-Sen03,HI-Sen03-schatz_brian-,schatz,1,D,-0.445,NA,brian,HI,HI-Sen03-schatz_brian-,-0.638,-1.224,-0.717,HIS22,NA,232,-0.73,-0.73,NA,1,0,0,0,-0.95,-0.945084287,0.5,NA,NA,NA,-0.73,0.0273,5180,0,NA,NA,0,0,NA,-0.73,0.23,0.092,2022
