state,stateAbbrev,senState,county_name,sen_cand_dem,dem_sen_percent,dem_sen_votes,pres_cand_dem,dem_pres_percent,dem_pres_votes,dem_sen_avgIdeal,dem_pres_avgIdeal,dem_sen_inc,sen_cand_rep,rep_sen_percent,rep_sen_votes,pres_cand_rep,rep_pres_percent,rep_pres_votes,rep_sen_avgIdeal,rep_pres_avgIdeal,rep_sen_inc,county_votes,county_votes2,Income.Median Houseold Income,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,population,year,state_medianIncome,state_blackPct,state_hispPct,state_baPct,state_trumppct2016,state_trumppct2020,Cand_Office_St,Total_Receipt_Republican,Total_Receipt_Democrat,Total_Disbursement_Republican,Total_Disbursement_Democrat,Coverage_Start_Date_Republican,Coverage_Start_Date_Democrat,Coverage_End_Date_Republican,Coverage_End_Date_Democrat,Individual_Itemized_Contribution_Republican,Individual_Itemized_Contribution_Democrat,Individual_Unitemized_Contribution_Republican,Individual_Unitemized_Contribution_Democrat,Individual_Contribution_Republican,Individual_Contribution_Democrat,Total_Contribution_Republican,Total_Contribution_Democrat,Other_Receipts_Republican,Other_Receipts_Democrat,sen_cand_dem_gender,sen_cand_rep_gender,rep_man_vs_dem_woman,dem_man_vs_rep_woman
Alabama,AL,AL-Sen02,AUTAUGA,Doug Jones,0.2992,8277,Joseph R. Jr. Biden,0.2744,7503,-0.43,-1.42,Incumbent,Thomas Tuberville,0.7008,19387,Donald J. Trump,0.7256,19838,1.34,1.62,Challenger,27664,27341,58731,20.1,3,26.6,58805,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,BALDWIN,Doug Jones,0.2651,28925,Joseph R. Jr. Biden,0.2273,24578,-0.43,-1.42,Incumbent,Thomas Tuberville,0.7349,80200,Donald J. Trump,0.7727,83544,1.34,1.62,Challenger,109125,108122,58320,8.8,4.7,31.9,231767,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,BARBOUR,Doug Jones,0.4796,5021,Joseph R. Jr. Biden,0.4614,4816,-0.43,-1.42,Incumbent,Thomas Tuberville,0.5204,5449,Donald J. Trump,0.5386,5622,1.34,1.62,Challenger,10470,10438,32525,48.2,4.5,11.6,25223,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,BIBB,Doug Jones,0.2346,2244,Joseph R. Jr. Biden,0.2088,1986,-0.43,-1.42,Incumbent,Thomas Tuberville,0.7654,7320,Donald J. Trump,0.7912,7525,1.34,1.62,Challenger,9564,9511,47542,21.3,2.8,10.4,22293,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,BLOUNT,Doug Jones,0.1198,3290,Joseph R. Jr. Biden,0.0965,2640,-0.43,-1.42,Incumbent,Thomas Tuberville,0.8802,24163,Donald J. Trump,0.9035,24711,1.34,1.62,Challenger,27453,27351,49358,1.7,9.7,13.1,59134,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,BULLOCK,Doug Jones,0.759,3490,Joseph R. Jr. Biden,0.7504,3446,-0.43,-1.42,Incumbent,Thomas Tuberville,0.241,1108,Donald J. Trump,0.2496,1146,1.34,1.62,Challenger,4598,4592,37785,70.3,8.6,12.1,10357,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,BUTLER,Doug Jones,0.4449,4193,Joseph R. Jr. Biden,0.4208,3965,-0.43,-1.42,Incumbent,Thomas Tuberville,0.5551,5232,Donald J. Trump,0.5792,5458,1.34,1.62,Challenger,9425,9423,40688,45,1.5,16.1,19051,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,CALHOUN,Doug Jones,0.3312,16808,Joseph R. Jr. Biden,0.3024,15216,-0.43,-1.42,Incumbent,Thomas Tuberville,0.6688,33936,Donald J. Trump,0.6976,35101,1.34,1.62,Challenger,50744,50317,47255,21.3,4.1,18.5,116441,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,CHAMBERS,Doug Jones,0.4539,6908,Joseph R. Jr. Biden,0.421,6365,-0.43,-1.42,Incumbent,Thomas Tuberville,0.5461,8312,Donald J. Trump,0.579,8753,1.34,1.62,Challenger,15220,15118,42289,40.2,2.6,13.3,34772,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
Alabama,AL,AL-Sen02,CHEROKEE,Doug Jones,0.1726,2112,Joseph R. Jr. Biden,0.133,1624,-0.43,-1.42,Incumbent,Thomas Tuberville,0.8274,10122,Donald J. Trump,0.867,10583,1.34,1.62,Challenger,12234,12207,41919,4.1,1.7,12.8,24971,2020,50536,26.8,4.6,25.5,62.08309236,62.03164317,AL,9605815.13,31053566.07,9432335.29,32710698.97,1/1/2019,1/1/2019,12/31/2020,12/31/2020,6168170.18,14632158.26,1531496.53,12840720.47,7699666.71,27472878.73,8524095.82,29416729.1,7297,22469.75,M,M,0,0
