term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
paid_family_medical_leave,-2.15,2,0,53,1,1,0,0,4,54,53,1,38,10,1,37,1,4,3,1,0.333,0.08,0,4,3,1,0.333,0.082,0,1,0,1,0,0,0,-0.03,-1.03,2.28,2.54,1.975,0.43,25
single_payer_healthcare_system,-10.41,-5.22,0,51,1,1,0,0,4,60,51,9,52,5,0,43,9,3,2,1,0.5,0.053,0,3,2,1,0.5,0.062,0,1,1,0,0.125,0,0,-0.02,-1.31,-5.33,-3.23,0,0,30
create_good_paying_jobs,-2.07,1.4,0,55,1,1,0,0,4,61,55,6,49,20,3,43,6,6,4,2,0.5,0.109,0,6,4,2,0.5,0.122,0,1,1,0,0.2,0,0,-0.05,-1.58,1.63,2.42,-0.441,-0.21,23
access_quality_affordable_healthcare,-1.16,1.55,0,94,1,1,0,0,4,106,94,12,86,39,3,77,9,3,3,0,0,0.029,0,3,3,0,0,0.033,0,2,2,0,0.2,0,0,-0.16,-3.27,1.69,3.82,0.852,0.43,36
fossil_fuel_industry,-5.5,-1.92,0,100,1,1,0,0,3,100,100,0,64,10,0,64,0,10,7,3,0.429,0.111,0,10,7,3,0.429,0.111,0,0,0,0,0,0,0,-0.04,-1.43,-1.68,-1.97,0,0,20
federal_jobs_guarantee,-12.83,-7.32,0,57,1,1,0,0,3,57,57,0,36,4,0,36,0,6,5,1,0.2,0.118,0,6,5,1,0.2,0.118,0,0,0,0,0,0,0,-0.02,-0.59,-7.56,-4.77,0,0,22
criminal_justice_reform,-3.98,-1.44,0,189,1,1,0,1,3,224,189,33,160,23,3,133,26,4,4,0,0,0.018,0,4,4,0,0,0.022,0,4,3,1,0.138,0.333,0,-0.1,-2.28,-1.24,-2.45,-1.225,-0.6,23
low_income_communities,-5.71,-2.32,0,92,1,1,0,1,3,96,92,4,62,12,0,59,3,14,4,10,2.5,0.171,0,14,4,10,2.5,0.179,0,2,1,1,1,1,0,-0.06,-2.42,-2.21,-2.82,0,0,22
public_colleges_universities,-6.87,-2.74,0,63,1,1,0,0,3,67,63,4,59,8,0,55,4,3,2,1,0.5,0.047,0,3,2,1,0.5,0.05,0,1,1,0,0.333,0,0,-0.02,-1.31,-2.54,-2.29,0,0,28
campaign_finance_reform,-1.85,1.27,0,117,1,1,0,0,3,127,117,10,98,23,0,91,7,4,3,1,0.333,0.033,0,4,3,1,0.333,0.035,0,2,2,0,0.25,0,0,-0.11,-2.68,1.5,2.62,0,0,23
clean_energy_economy,-1.49,1.59,0,91,1,1,0,0,3,91,91,0,62,24,0,62,0,6,5,1,0.2,0.071,0,6,5,1,0.2,0.071,0,0,0,0,0,0,0,-0.1,-2.18,1.84,3.38,0,0,20
negotiate_drug_prices,-1.23,3.5,0,49,1,1,0,0,3,50,49,1,44,15,0,43,1,3,2,1,0.5,0.064,0,3,2,1,0.5,0.065,0,1,0,1,0,0,0,-0.05,-2.41,3.52,3.78,0,0,21
improve_quality_life,-5.97,-2.12,0,33,1,1,0,0,3,58,33,24,51,9,4,29,21,3,2,1,0.5,0.055,0,3,2,1,0.5,0.1,0,2,2,0,0.091,0,0,0,-0.2,-1.9,-1.95,-0.582,-0.32,20
middle_class_families,-1.38,0.69,0,148,1,1,0,0,3,173,148,25,119,48,4,96,23,6,5,1,0.2,0.036,0,6,5,1,0.2,0.042,0,2,2,0,0.087,0,0,-0.24,-3.48,0.94,2.62,2.103,1.07,21
lower_prescription_drug,-1.04,2.58,0,83,1,1,0,0,3,97,83,14,84,26,5,71,13,2,2,0,0,0.021,0,2,2,0,0,0.025,0,2,1,1,0.167,1,0,-0.09,-2.29,2.59,4.32,-1.012,-0.7,23
small_business_owners,-1.07,1.72,0,132,1,1,0,0,3,206,132,74,155,34,19,95,60,5,4,1,0.25,0.025,0,4,4,0,0,0.031,0,5,3,2,0.072,0.667,0,-0.03,-0.47,1.88,4.14,0.247,0.31,21
hard_working_americans,-2.64,2.04,0,28,1,1,0,0,3,59,28,31,50,7,8,24,26,3,2,1,0.5,0.054,0,3,2,1,0.5,0.12,0,2,2,0,0.069,0,0,0.05,1.64,2.34,2.01,0.12,0.1,22
broken_immigration_system,-1.74,1.3,0,74,1,1,1,0,3,111,74,37,90,26,9,59,31,3,2,1,0.5,0.028,0,3,2,1,0.5,0.042,0,2,2,0,0.057,0,0,-0.09,-2,1.42,2.72,-2.603,-2.72,25
