term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
fight_climate_change,-1.78,-1.07,0,512,D,1,1,0,1,3,533,512,15,224,123,3,209,12,25,24,1,0.042,0.049,0,25,24,1,0.042,0.051,0,2,2,0,0.154,0,0,-0.84,-4.68,-0.88,-5.21,-5.495,-3.21,20
hold_administration_accountable,-2.57,-1.1,0,189,D,1,1,0,1,3,191,189,2,115,85,1,113,2,9,9,0,0,0.049,0,9,9,0,0,0.05,0,1,1,0,1,0,0,-0.41,-4.68,-0.95,-3.84,-0.994,-0.34,31
struggling_ends_meet,-1.7,-0.72,0,334,D,1,1,0,1,3,377,334,43,225,126,22,190,35,10,8,2,0.25,0.027,0,10,8,2,0.25,0.031,0,3,2,1,0.075,0.5,0,-0.63,-5.79,-0.71,-3.59,-1.013,-1.57,20
paid_sick_leave,-1.59,-1.09,0,939,D,1,1,1,1,3,999,939,59,386,171,33,343,42,32,24,8,0.333,0.033,0,32,24,8,0.333,0.035,0,5,3,2,0.093,0.667,0,-0.88,-6.05,-0.99,-6.38,-1.423,-3.04,15
hold_president_accountable,-2.24,-1.16,0,286,D,1,1,0,1,3,290,286,2,136,90,0,132,2,21,17,4,0.235,0.078,0,21,17,4,0.235,0.079,0,1,1,0,1,0,0,-0.63,-4.25,-1.05,-5.07,0,0,26
gun_violence_epidemic,-1.48,-1.09,0,622,D,1,1,0,1,3,624,622,2,194,138,1,192,2,57,26,31,1.192,0.101,1,57,26,31,1.192,0.101,1,1,1,0,1,0,0,-1.29,-5.73,-1.02,-6.97,-4.12,-1.14,21
trump_senate_republicans,-3.28,-1.26,0,104,D,1,1,0,1,3,110,104,4,69,54,1,63,4,9,7,2,0.286,0.089,0,9,7,2,0.286,0.095,0,1,1,0,0.333,0,0,-0.25,-4.15,-1.25,-3.69,0.163,0.06,24
become_citizen_cosponsor,-2.66,-0.95,0,122,D,1,1,0,1,3,122,122,0,79,77,0,79,0,5,4,1,0.25,0.043,0,5,4,1,0.25,0.043,0,0,0,0,0,0,0,-0.45,-7.07,-1.22,-4.06,0,0,24
federal_unemployment_benefits,-2.85,-0.89,0,121,D,1,1,0,1,3,131,121,10,68,49,6,62,6,9,8,1,0.125,0.074,0,9,8,1,0.125,0.08,0,3,2,1,0.429,0.5,0,-0.27,-3.3,-1,-3.03,-1.281,-1.17,29
equal_justice_law,-3.14,-1.18,0,146,D,1,1,0,1,3,167,146,21,106,64,13,87,19,14,7,7,1,0.092,0,14,7,7,1,0.106,0,3,1,2,0.167,2,0,-0.19,-3.3,-1.13,-3.47,-0.521,-0.62,17
