term,b0,b1,b1prior,count,party,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
criminal_justice_reform,-3.98,-1.44,0,189,D,1,1,0,1,3,224,189,33,160,23,3,133,26,4,4,0,0,0.018,0,4,4,0,0,0.022,0,4,3,1,0.138,0.333,0,-0.1,-2.28,-1.24,-2.45,-1.225,-0.6,23
low_income_communities,-5.71,-2.32,0,92,D,1,1,0,1,3,96,92,4,62,12,0,59,3,14,4,10,2.5,0.171,0,14,4,10,2.5,0.179,0,2,1,1,1,1,0,-0.06,-2.42,-2.21,-2.82,0,0,22
greenhouse_gas_emissions,-3.81,-1.11,0,71,D,1,1,0,1,3,76,71,5,56,20,1,51,5,6,3,3,1,0.086,0,6,3,3,1,0.092,0,1,1,0,0.25,0,0,-0.1,-2.4,-0.9,-1.65,116.479,0,24
social_safety_net,-6.74,-2.99,0,57,D,1,1,0,1,3,63,57,6,47,10,0,41,6,7,3,4,1.333,0.125,0,7,3,4,1.333,0.14,0,1,1,0,0.2,0,0,-0.04,-1.71,-2.86,-3.13,0,0,17
national_defense,-1.7,0.95,0,79,D,1,1,1,1,2,234,79,155,169,30,53,52,117,5,5,0,0,0.022,0,4,4,0,0,0.053,0,5,5,0,0.033,0,0,0.35,4.95,1.29,2.73,1.211,2.58,16
national_debt,-2.59,1.33,0,94,D,1,1,1,1,2,370,94,275,218,12,53,58,159,20,14,6,0.429,0.057,0,6,5,1,0.2,0.068,0,20,14,6,0.078,0.429,0,0.43,7.75,1.71,1.96,1.054,2.25,13
democratic_party,-4.04,-1.22,0,146,D,1,1,0,1,2,202,146,54,129,19,1,93,35,14,6,8,1.333,0.074,0,14,4,10,2.5,0.106,0,6,4,2,0.125,0.5,0,-0.11,-2.79,-1.09,-1.79,-0.674,-0.18,16
wage_usd15,-3.78,-1.36,0,137,D,1,1,0,1,2,141,137,2,124,38,0,120,2,4,2,2,1,0.029,0,4,2,2,1,0.03,0,1,1,0,1,0,0,-0.13,-3.55,-1.14,-2.4,0,0,10
black_women,-6.28,-3.07,0,67,D,1,1,0,1,2,69,67,2,50,14,0,48,2,5,4,1,0.25,0.078,0,5,4,1,0.25,0.081,0,1,1,0,1,0,0,-0.08,-2.05,-3.03,-4.33,0,0,11
criminal_justice,-2.9,-1.14,0,485,D,1,1,0,1,2,548,485,59,277,47,2,236,39,14,8,6,0.75,0.026,0,14,8,6,0.75,0.03,0,5,4,1,0.093,0.25,0,-0.26,-3.73,-0.92,-2.71,-2.474,-1.07,16
justice_system,-2.74,-0.99,0,489,D,1,1,0,1,2,529,489,36,260,46,2,230,28,11,11,0,0,0.021,0,11,11,0,0,0.023,0,3,2,1,0.091,0.5,0,-0.24,-3.2,-0.75,-2.25,-3.876,-2.11,14
income_inequality,-6.15,-2.66,0,126,D,1,1,0,1,2,135,126,9,92,14,1,86,6,7,6,1,0.167,0.055,0,7,6,1,0.167,0.059,0,2,2,0,0.286,0,0,-0.05,-2.32,-2.58,-3.16,-6.074,-1.96,17
communities_color,-4.27,-2.01,0,274,D,1,1,0,1,2,277,274,2,130,27,0,127,2,27,10,17,1.7,0.108,0,27,10,17,1.7,0.109,0,1,1,0,1,0,0,-0.14,-2.53,-1.79,-4.07,0,0,17
president_trump,-1.09,0.1,0,333,D,1,1,1,1,2,1287,333,949,455,65,73,137,316,25,21,4,0.19,0.02,0,21,17,4,0.235,0.067,0,25,17,8,0.027,0.471,0,0.71,3.9,0.45,1.87,0.666,2.27,15
raise_wage,-4.39,-1.71,0,54,D,1,1,0,1,2,55,54,1,45,25,0,44,1,3,2,1,0.5,0.058,0,3,2,1,0.5,0.059,0,1,0,1,0,0,0,-0.08,-2.18,-1.42,-2.63,0,0,10
student_debt,-3.9,-1.58,0,313,D,1,1,0,1,2,360,313,47,220,31,3,188,32,10,7,3,0.429,0.029,0,10,7,3,0.429,0.033,0,6,4,2,0.146,0.5,0,-0.08,-1.82,-1.28,-2.83,-1.599,-0.79,12
workers_rights,-4.88,-1.87,0,123,D,1,1,0,1,2,124,123,1,86,15,0,85,1,4,4,0,0,0.033,0,4,4,0,0,0.034,0,1,0,1,0,0,0,-0.06,-1.71,-1.63,-2.54,0,0,14
mental_illness,-4.26,-1.28,0,116,D,1,1,0,1,2,171,116,53,114,17,1,75,38,11,7,4,0.571,0.069,0,11,7,4,0.571,0.105,0,4,3,1,0.082,0.333,0,-0.07,-1.65,-1.05,-1.67,-3.938,-1.43,14
wasteful_spending,-2.57,1.97,0,22,D,1,1,1,1,2,109,22,87,88,8,32,17,71,3,3,0,0,0.028,0,3,2,1,0.5,0.158,0,3,2,1,0.036,0.5,0,0.22,5.16,2.11,1.99,1.447,2.31,17
affordable_housing,-3.07,-1.76,0,549,D,1,1,0,1,2,594,549,45,259,51,0,232,27,20,19,1,0.053,0.035,0,20,19,1,0.053,0.038,0,6,4,2,0.154,0.5,0,-0.3,-2.16,-1.48,-5.44,0,0,18
climate_crisis,-3.58,-1.68,0,295,D,1,1,0,1,2,298,295,1,156,34,1,154,1,12,11,1,0.091,0.042,0,12,11,1,0.091,0.042,0,1,0,1,0,0,0,-0.26,-2.85,-1.54,-4.12,-0.446,-0.12,14
vulnerable_communities,-5.63,-2.49,0,86,D,1,1,0,1,2,91,86,5,61,17,1,58,3,8,6,2,0.333,0.096,0,8,6,2,0.333,0.103,0,3,1,2,1.5,2,0,-0.08,-2.64,-2.39,-3.49,-0.121,-0.03,22
