term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
community_coming_together,-0.98,-1.84,0,40,1,0,1,0,3,124,84,40,105,41,25,69,36,3,3,0,0,0.025,0,3,3,0,0,0.037,0,3,2,1,0.081,0.5,0,0.01,0.15,0.86,2,-1.875,-3.08,25
violence_sexual_assault,-0.86,-2.57,0,18,1,0,1,0,3,124,105,18,95,68,15,78,16,5,4,1,0.25,0.042,0,5,4,1,0.25,0.05,0,2,2,0,0.125,0,0,-0.16,-2.83,0.23,0.73,-2.3,-3.17,23
local_state_federal,-0.47,-0.97,0,132,1,0,1,0,3,354,222,132,226,90,63,147,79,11,9,2,0.222,0.032,0,9,6,3,0.5,0.042,0,11,5,6,0.091,1.2,0,0.13,1.49,0.73,2.83,-1.033,-3.15,19
missing_murdered_indigenous,1.06,-3.42,0,68,1,1,1,0,3,169,101,68,65,28,16,46,19,19,17,2,0.118,0.127,0,10,7,3,0.429,0.11,0,19,17,2,0.388,0.118,0,0.17,1.24,-1.25,-3.44,-3.213,-8.49,27
murdered_indigenous_women,1.34,-3.83,0,69,1,1,1,0,3,164,95,69,64,28,16,45,19,25,17,8,0.471,0.18,0,10,7,3,0.429,0.118,0,25,17,8,0.568,0.471,0,0.21,1.33,-1.25,-3.36,-3.474,-9.36,25
good_paying_jobs,0.22,-1.22,0,239,1,1,1,0,3,1220,980,239,403,166,74,282,120,40,29,11,0.379,0.034,0,40,29,11,0.379,0.043,0,16,9,7,0.072,0.778,0,-0.93,-2.74,0.82,6.87,-1.199,-4.73,16
cost_prescription_drugs,0.1,-1.52,0,122,1,1,1,0,3,784,662,122,286,143,51,224,62,22,22,0,0,0.029,0,22,22,0,0,0.034,0,8,7,1,0.07,0.143,0,-0.74,-3.12,1.54,10.54,-1.36,-4.6,23
families_across_country,-0.44,-1.64,0,59,1,0,1,0,3,516,456,59,241,146,41,196,44,26,23,3,0.13,0.053,0,26,23,3,0.13,0.06,0,4,3,1,0.073,0.333,0,-0.69,-3.51,-0.18,-1.16,-1.536,-3.7,23
support_small_businesses,0.45,-0.99,0,327,1,1,1,0,3,848,517,327,400,158,107,231,166,19,14,5,0.357,0.023,0,19,14,5,0.357,0.038,0,10,10,0,0.032,0,0,0.18,0.91,1.57,10.05,-0.956,-4.72,24
safe_drinking_water,-0.22,-3.39,0,25,1,0,1,0,3,194,169,25,110,71,12,92,18,13,10,3,0.3,0.072,0,13,10,3,0.3,0.083,0,5,3,2,0.25,0.667,0,-0.26,-3.04,0.15,0.55,-2.945,-4.26,19
keep_communities_safe,0.57,-0.6,0,533,1,1,1,0,3,1328,795,533,490,178,143,272,218,28,26,2,0.077,0.022,0,28,26,2,0.077,0.037,0,14,13,1,0.027,0.077,0,0.31,1.12,0.75,6.18,-0.614,-3.8,21
health_economic_crisis,-0.35,-2.14,0,48,1,0,1,0,3,410,362,48,187,110,27,153,34,20,18,2,0.111,0.051,0,20,18,2,0.111,0.058,0,8,5,3,0.2,0.6,0,-0.6,-3.11,0.14,0.82,-2.148,-4.34,22
high_speed_internet,0.26,-1.5,0,156,1,1,1,0,3,508,352,156,209,74,54,146,63,28,16,12,0.75,0.058,0,28,15,13,0.867,0.086,0,16,10,6,0.114,0.6,0,0.05,0.26,1.51,7.07,-1.471,-5.27,19
thoughts_prayers_family,-2.25,0.95,0,175,1,0,1,1,3,302,125,175,200,57,61,95,103,12,9,3,0.333,0.041,0,3,3,0,0,0.025,0,12,9,3,0.074,0.333,0,0.33,3.32,0.18,0.51,0.924,3.01,23
innocent_proven_guilty,-7.27,3.64,0,81,1,0,1,0,3,102,16,81,54,4,11,13,37,29,5,24,4.8,0.397,1,2,2,0,0,0.143,0,29,5,24,0.558,4.8,1,0.13,3.49,-0.2,-0.18,2.914,4.03,22
progress_weve_made,-0.48,-2.21,0,36,1,0,1,0,3,192,156,36,126,84,23,100,26,12,5,7,1.4,0.067,0,12,5,7,1.4,0.083,0,4,3,1,0.125,0.333,0,-0.15,-2.22,-0.1,-0.38,-1.857,-3.63,18
ill_keep_working,-0.74,-1.73,0,39,1,1,1,0,3,283,244,39,89,60,23,65,24,39,34,5,0.147,0.16,0,39,34,5,0.147,0.19,0,5,4,1,0.147,0.25,0,-0.31,-1.17,1.88,9.35,-1.585,-3.2,16
god_bless_family,-4.6,2.13,0,166,1,0,1,0,3,202,29,166,109,11,33,19,88,45,9,36,4,0.287,1,4,3,1,0.333,0.16,0,45,9,36,0.372,4,1,0.18,3.4,-0.67,-0.88,2.028,4.03,16
ill_continue_working,0.29,-2.45,0,62,1,0,1,0,3,144,82,62,67,35,29,35,32,14,13,1,0.077,0.108,0,14,9,5,0.556,0.206,0,13,4,9,0.265,2.25,0,0.13,1.12,0.89,2.71,-2.417,-6.01,20
continue_working_ensure,-0.32,-1.87,0,55,1,1,1,0,3,137,82,55,84,45,30,50,34,8,6,2,0.333,0.062,0,8,6,2,0.333,0.108,0,5,4,1,0.1,0.25,0,0.1,1.3,1.21,3.46,-1.685,-3.97,23
congressional_gold_medal,0.03,-1.58,0,103,1,0,1,0,3,248,145,103,142,84,52,88,54,11,8,3,0.375,0.046,0,7,5,2,0.4,0.051,0,11,8,3,0.12,0.375,0,0.09,0.91,0.7,2.66,-1.44,-4.55,24
men_women_served,-0.39,-0.72,0,200,1,1,1,0,3,363,162,200,254,82,81,119,134,5,5,0,0,0.014,0,5,4,1,0.25,0.032,0,5,4,1,0.026,0.25,0,0.23,2.58,2.09,7.08,-0.9,-3.08,16
help_small_businesses,0.53,-0.58,0,471,1,1,1,0,3,1113,640,471,440,181,138,247,191,19,17,2,0.118,0.017,0,19,17,2,0.118,0.031,0,10,9,1,0.022,0.111,0,0.5,2.22,1.21,8.96,-0.58,-3.59,21
community_health_centers,1.43,-2.6,0,167,1,0,1,0,3,575,408,167,221,142,58,160,61,17,15,2,0.133,0.03,0,17,13,4,0.308,0.043,0,15,11,4,0.099,0.364,0,-0.15,-0.75,0.12,0.74,-2.397,-10.18,24
help_keep_communities,-0.81,-1.77,0,37,1,0,1,0,3,108,71,37,75,39,27,46,29,12,4,8,2,0.125,0,12,4,8,2,0.203,0,3,3,0,0.088,0,0,0.01,0.11,0.42,1.1,-1.726,-3.23,21
personal_protective_equipment,0,-1.06,0,180,1,0,1,0,3,649,465,180,288,139,81,188,96,24,15,9,0.6,0.038,0,24,15,9,0.6,0.054,0,8,7,1,0.047,0.143,0,-0.26,-1.39,0.24,1.53,-0.978,-3.79,29
front_line_workers,-0.23,-1.54,0,103,1,0,1,0,3,399,295,103,231,103,50,162,68,17,17,0,0,0.045,0,17,17,0,0,0.061,0,11,5,6,0.12,1.2,0,-0.1,-0.81,0.67,2.96,-1.423,-3.99,18
hardworking_men_women,-0.41,-0.89,0,133,1,1,1,0,3,328,194,133,150,58,58,76,73,58,14,44,3.143,0.215,1,58,14,44,3.143,0.426,1,7,7,0,0.056,0,0,0.22,1.7,1.01,3.54,-0.929,-3.06,21
behind_closed_doors,-2.31,1.39,0,238,1,0,1,0,3,396,154,238,214,39,91,80,131,22,16,6,0.375,0.059,0,22,16,6,0.375,0.167,0,10,10,0,0.044,0,0,0.78,8.04,-0.56,-1.28,1.37,5.5,19
thank_hard_work,-0.16,-0.81,0,248,1,1,1,0,3,560,310,248,343,108,93,187,154,18,9,9,1,0.033,0,18,9,9,1,0.062,0,7,6,1,0.029,0.167,0,0.26,1.95,1.35,6.23,-0.832,-3.23,15
keep_doors_open,0.13,-1.13,0,173,1,1,1,0,3,328,155,173,184,76,74,96,88,12,10,2,0.2,0.038,0,12,8,4,0.5,0.084,0,10,8,2,0.061,0.25,0,0.38,3.06,1.58,5.71,-1.136,-4.43,15
introduced_bipartisan_legislation,0.37,-2.04,0,91,1,1,1,0,3,271,180,91,120,72,44,74,46,19,14,5,0.357,0.075,0,14,11,3,0.273,0.084,0,19,6,13,0.264,2.167,0,0.11,0.75,1.66,6.85,-1.809,-5.66,33
across_finish_line,0.13,-1.09,0,208,1,1,1,0,3,477,266,208,250,74,72,141,107,10,10,0,0,0.021,0,10,8,2,0.25,0.039,0,10,8,2,0.051,0.25,0,0.45,3.44,2.47,9.13,-1.055,-4.24,18
great_american_outdoors,2.24,-2.95,0,323,1,1,1,0,3,721,398,323,198,114,58,133,65,51,32,19,0.594,0.076,0,32,28,4,0.143,0.087,0,51,25,26,0.188,1.04,1,0.42,1.16,1.99,12.04,-2.929,-16.06,23
land_water_conservation,0.81,-3.18,0,60,1,1,1,0,3,272,212,60,120,86,25,93,27,13,12,1,0.083,0.05,0,13,12,1,0.083,0.065,0,10,7,3,0.2,0.429,0,-0.29,-2.01,0.99,4.55,-3.073,-7.7,23
water_conservation_fund,0.78,-3.23,0,56,1,1,1,0,3,257,201,56,118,85,24,92,26,13,12,1,0.083,0.053,0,13,12,1,0.083,0.069,0,9,6,3,0.191,0.5,0,-0.28,-2.09,1.01,4.53,-3.185,-7.66,23
domestic_violence_sexual,-0.66,-2.75,0,20,1,0,1,0,3,113,92,20,87,59,16,69,17,4,3,1,0.333,0.037,0,4,3,1,0.333,0.045,0,3,2,1,0.176,0.5,0,-0.11,-2.21,0.52,1.51,-2.484,-3.53,24
colleagues_sides_aisle,-0.41,-1.06,0,98,1,1,1,0,3,363,265,98,176,115,55,118,58,16,14,2,0.143,0.046,0,16,14,2,0.143,0.064,0,11,5,6,0.126,1.2,0,-0.3,-1.88,2.46,12.19,-1.201,-3.55,22
communities_across_country,-0.33,-1.15,0,105,1,0,1,0,3,619,512,105,283,170,53,219,62,10,10,0,0,0.016,0,10,10,0,0,0.02,0,8,5,3,0.082,0.6,0,-0.74,-4.83,0.18,1.26,-1.12,-3.48,26
natural_resources_committee,-0.22,-2.04,0,50,1,1,1,0,3,134,83,50,60,33,20,38,21,14,9,5,0.556,0.117,0,9,9,0,0,0.122,0,14,7,7,0.389,1,0,0.07,0.63,1.3,3.66,-1.764,-4.15,27
testing_contact_tracing,0.1,-4.95,0,26,1,0,1,0,3,426,399,26,189,127,10,174,14,21,14,7,0.5,0.052,0,21,14,7,0.5,0.056,0,4,3,1,0.182,0.333,0,-0.82,-5.89,-0.01,-0.05,-4.475,-4.67,23
im_honored_receive,-0.78,-1.32,0,73,1,1,1,0,3,199,126,73,134,53,30,87,47,6,6,0,0,0.031,0,6,6,0,0,0.05,0,5,5,0,0.074,0,0,0.03,0.37,1.89,5.19,-1.426,-3.17,18
public_health_threat,0.1,-3.88,0,22,1,0,1,0,3,114,91,22,81,51,12,66,14,6,5,1,0.2,0.056,0,6,4,2,0.5,0.071,0,5,3,2,0.294,0.667,0,-0.1,-1.74,-0.27,-0.74,-3.697,-5.2,20
threat_national_security,-3.52,1.62,0,105,1,0,1,0,3,307,197,105,194,74,45,118,71,9,7,2,0.286,0.03,0,9,5,4,0.8,0.048,0,7,6,1,0.071,0.167,0,0.05,0.52,-0.33,-1.25,1.365,3.76,24
access_clean_water,-0.79,-3.57,0,10,1,0,1,0,3,124,113,10,84,50,8,74,9,6,5,1,0.2,0.051,0,6,5,1,0.2,0.056,0,2,1,1,0.25,1,0,-0.18,-3.09,-0.42,-1.19,-3.346,-3.35,18
surprise_medical_billing,0.49,-1.86,0,127,1,0,1,0,3,244,117,127,93,34,38,49,44,40,26,14,0.538,0.196,0,26,11,15,1.364,0.286,0,40,21,19,0.46,0.905,0,0.53,2.46,0.97,2.59,-1.537,-5.65,24
federal_state_local,-0.06,-1.01,0,190,1,1,1,0,3,460,266,190,256,117,78,154,100,17,11,6,0.545,0.038,0,17,7,10,1.429,0.068,0,11,5,6,0.061,1.2,0,0.14,1.02,0.79,3.78,-0.907,-3.54,19
continue_work_together,-0.47,-1.2,0,93,1,1,1,0,3,280,187,93,168,83,54,106,62,18,6,12,2,0.069,0,18,6,12,2,0.107,0,6,5,1,0.069,0.2,0,-0.03,-0.28,1.55,6.15,-1.184,-3.34,22
surprise_medical_bills,0.39,-2,0,104,1,1,1,0,3,290,186,104,98,50,26,68,30,30,23,7,0.304,0.115,0,23,17,6,0.353,0.141,0,30,17,13,0.405,0.765,0,0.12,0.5,0.74,3.12,-1.778,-5.7,22
army_corps_engineers,-0.26,-1.05,0,124,1,1,1,0,3,252,127,124,145,56,60,75,69,17,8,9,1.125,0.072,0,8,7,1,0.143,0.067,0,17,7,10,0.159,1.429,0,0.22,1.86,1.34,4.24,-1.171,-3.78,20
thank_kind_words,-0.44,-1.15,0,268,1,0,1,0,3,558,282,268,250,43,37,139,106,21,21,0,0,0.039,0,20,14,6,0.429,0.076,0,21,21,0,0.085,0,0,0.36,2.81,-1.05,-2.61,-0.982,-3.02,16
senate_passed_bipartisan,-0.03,-2.09,0,58,1,0,1,0,3,125,67,58,74,41,30,43,31,8,7,1,0.143,0.068,0,8,7,1,0.143,0.136,0,7,6,1,0.137,0.167,0,0.19,2.34,0.9,2.44,-1.887,-4.72,24
work_together_ensure,-0.74,-1.79,0,52,1,1,1,0,3,174,122,52,116,59,31,74,42,12,6,6,1,0.074,0,12,6,6,1,0.109,0,3,2,1,0.061,0.5,0,-0.09,-1.1,1.42,4.65,-1.732,-3.34,20
loans_small_businesses,0.51,-1.7,0,159,1,1,1,0,3,318,159,159,210,85,83,111,99,16,6,10,1.667,0.053,0,5,4,1,0.25,0.032,0,16,6,10,0.112,1.667,0,0.34,3.21,1.62,5.75,-1.71,-6.31,22
honored_earn_endorsement,-0.59,-3.21,0,21,1,0,1,0,3,111,90,21,48,13,7,36,12,19,16,3,0.188,0.207,0,19,16,3,0.188,0.268,0,9,2,7,0.75,3.5,0,0.04,0.67,-0.12,-0.21,-2.493,-3.26,24
support_state_local,-0.55,-2.92,0,20,1,0,1,0,3,145,125,20,104,77,15,88,16,5,4,1,0.25,0.036,0,5,4,1,0.25,0.042,0,2,2,0,0.111,0,0,-0.26,-4.16,0.63,2.14,-2.561,-3.68,19
colleagues_sent_letter,-4.83,2.24,0,44,1,0,1,0,3,138,94,44,88,56,29,56,32,14,4,10,2.5,0.113,0,14,3,11,3.667,0.175,0,4,3,1,0.1,0.333,0,-0.09,-1.06,0.4,1.25,2.12,4.02,22
health_human_services,-0.48,-1.3,0,111,1,0,1,0,3,298,187,111,183,75,54,112,71,11,10,1,0.1,0.038,0,10,8,2,0.25,0.056,0,11,6,5,0.11,0.833,0,-0.05,-0.57,0.24,0.9,-1.377,-3.61,21
relief_small_businesses,0.11,-0.87,0,223,1,1,1,0,3,446,223,223,254,107,93,137,117,9,8,1,0.125,0.021,0,8,7,1,0.143,0.037,0,9,7,2,0.042,0.286,0,0.43,3.48,0.71,3.14,-0.872,-3.8,23
state_local_tribal,-0.95,-2.12,0,24,1,0,1,0,3,103,79,24,61,38,18,43,18,5,4,1,0.25,0.051,0,5,4,1,0.25,0.068,0,2,2,0,0.091,0,0,-0.09,-1.39,0.14,0.39,-2.293,-3.36,18
paycheck_protection_program,2.11,-0.73,0,1719,1,1,1,0,3,2773,1050,1719,521,206,187,266,252,76,71,5,0.07,0.028,0,25,23,2,0.087,0.024,0,76,71,5,0.046,0.07,0,5.37,7.28,1.43,14.06,-0.803,-9.87,27
protection_program_loans,-0.9,-1.2,0,53,1,1,1,0,3,112,59,53,85,36,38,45,40,5,4,1,0.25,0.047,0,5,4,1,0.25,0.093,0,4,3,1,0.082,0.333,0,0.11,1.91,1.59,3.6,-1.468,-3.12,24
workers_families_small,-0.4,-1.64,0,60,1,0,1,0,3,178,118,60,86,48,27,57,29,19,11,8,0.727,0.119,0,19,6,13,2.167,0.192,0,11,8,3,0.224,0.375,0,-0.01,-0.05,-0.37,-1.26,-1.723,-4.07,22
social_security_beneficiaries,-1.04,-1.4,0,39,1,0,1,0,3,108,69,39,83,45,30,51,32,4,4,0,0,0.038,0,4,3,1,0.333,0.062,0,4,2,2,0.114,1,0,-0.03,-0.65,-0.67,-1.67,-1.673,-3.05,29
chinese_communist_party,-0.1,0.95,0,1308,1,0,1,1,3,1451,123,1308,228,21,108,32,190,105,90,15,0.167,0.078,0,35,32,3,0.094,0.398,0,105,90,15,0.087,0.167,0,5.84,7.17,0.37,1.33,0.802,8.48,23
post_traumatic_stress,-0.17,-2.21,0,65,1,1,1,0,3,134,69,65,79,32,24,47,32,12,11,1,0.091,0.098,0,12,4,8,2,0.211,0,11,7,4,0.204,0.571,0,0.11,1.31,2.03,4.71,-2.032,-4.5,21
critical_national_security,-0.62,-1.54,0,54,1,1,1,0,3,104,50,54,86,39,38,44,42,3,3,0,0,0.03,0,3,2,1,0.5,0.064,0,3,3,0,0.059,0,0,0.11,2.32,1.63,3.45,-1.566,-3.49,26
justice_bader_ginsburg,-0.47,-1.17,0,146,1,0,1,0,3,520,370,146,372,152,69,244,124,9,7,2,0.286,0.018,0,9,7,2,0.286,0.025,0,4,4,0,0.028,0,0,-0.52,-5.22,0.27,1.35,-1.334,-3.64,22
