term,b0,b1,b1prior,count,political,demPolitical,repPolitical,interPartyPolitical,nWords,totCount,demCount,repCount,totCandN,demIncN,repIncN,demCandN,repCandN,maxCandN,secondCandN,maxGap,maxGap2ndRatio,maxToTotalMinusMaxRatio,outlierCapped,maxDemCandN,secondDemCandN,maxDemGap,maxDemGap2ndRatio,maxDemToTotalMinusMaxRatio,outlierCappedDem,maxRepCandN,secondRepCandN,maxRepGap,maxRepToTotalMinusMaxRatio,maxRepGap2ndRatio,outlierCappedRep,bParty,tParty,bDemRCCount,tDemRCCount,bRepRCCount,tRepRCCount,numChar
level_playing_field,-1.1,-1.8,0,31,1,0,1,0,3,151,119,31,125,31,11,95,29,4,4,0,0,0.027,0,4,4,0,0,0.035,0,2,2,0,0.069,0,0,-0.04,-1.1,0.55,1.04,-1.79,-1.74,19
law_abiding_citizens,-3.56,1.65,0,126,1,0,1,1,3,148,22,126,125,2,25,18,107,3,3,0,0,0.021,0,2,2,0,0,0.1,0,3,3,0,0.024,0,0,0.19,5.05,9.58,2.04,1.438,2,20
good_paying_jobs,-0.4,-2.18,0,45,1,0,1,0,3,269,223,45,195,56,14,152,42,8,6,2,0.333,0.031,0,8,6,2,0.333,0.037,0,2,2,0,0.047,0,0,-0.22,-3.15,0.17,0.5,-2.29,-2.87,16
equal_pay_equal,0.62,-6.01,0,9,1,0,1,0,3,192,183,9,150,57,3,142,8,5,3,2,0.667,0.027,0,5,3,2,0.667,0.028,0,2,1,1,0.286,1,0,-0.19,-3.74,0.4,1.1,-5.135,-2.55,15
pay_equal_work,0.62,-6.01,0,9,1,0,1,0,3,178,169,9,145,57,3,137,8,3,3,0,0,0.017,0,3,3,0,0,0.018,0,2,1,1,0.286,1,0,-0.19,-3.79,0.37,1.03,-5.135,-2.55,14
state_local_governments,-4.17,1.42,0,38,1,0,1,1,3,119,81,38,93,22,11,59,34,10,3,7,2.333,0.092,0,10,3,7,2.333,0.141,0,2,2,0,0.056,0,0,0.06,1.74,0.61,0.95,2.582,1.98,23
student_loan_debt,-0.71,-2.8,0,59,1,0,1,0,3,329,269,59,194,35,6,167,26,26,6,20,3.333,0.086,0,6,6,0,0,0.023,0,26,5,21,0.788,4.2,1,-0.11,-2.08,0.34,0.79,-2.465,-1.97,17
broken_immigration_system,-0.34,-2.69,0,37,1,1,1,0,3,111,74,37,90,26,9,59,31,3,2,1,0.5,0.028,0,3,2,1,0.5,0.042,0,2,2,0,0.057,0,0,-0.09,-2,1.42,2.72,-2.603,-2.72,25
medicare_social_security,-0.73,-1.55,0,43,1,0,1,0,3,168,125,43,123,48,16,88,35,4,4,0,0,0.024,0,4,4,0,0,0.033,0,2,2,0,0.049,0,0,-0.11,-1.68,0.23,0.62,-1.533,-1.97,24
families_small_businesses,-0.19,-2.11,0,35,1,1,1,0,3,95,59,35,79,16,18,48,30,3,3,0,0,0.033,0,3,2,1,0.5,0.054,0,3,2,1,0.094,0.5,0,0.05,1.28,1.15,1.66,-2.222,-3.16,25
national_institutes_health,-0.6,-3.36,0,9,1,1,1,0,3,57,48,9,44,23,5,36,8,6,4,2,0.5,0.118,0,6,4,2,0.5,0.143,0,2,1,1,0.286,1,0,0,0.06,1.35,2.31,-2.879,-1.97,26
defund_planned_parenthood,-5.7,3.02,0,52,1,1,1,0,3,82,30,52,75,19,18,26,49,3,2,1,0.5,0.038,0,3,2,1,0.5,0.111,0,2,2,0,0.04,0,0,0.04,1.08,1.81,2.63,2.567,2.69,25
